gamma,k,fingerprint_length,n_recipients,sk,id,code,embedding_ratio,experiment_no,attack_strength,detection_confidence,accuracy,hellinger_distance,kl_divergence,marital-status_relationship,marital-status_sex,relationship_sex,income_relationship,education_education-num,age_marital-status,education-num_occupation,age_relationship
4,300,128,20,100,0,tardos,0.25,0,0.25,0.4453125,0.75,0.16153855561153063,0.11795976905079922,0.4623329849446688,0.6731155962500053,0.6752336099834054,0.699738433720812,0.8611281607385954,0.8200305604715907,0.82187007399471,0.8318606373427102
4,300,128,20,100,0,tardos,0.25,1,0.25,0.4921875,0.75,0.1626383141077836,0.11879070887321401,0.460492021006042,0.675511088845616,0.6668622417775919,0.6732629588233892,0.8683804841624937,0.8153411934132129,0.8159218157282115,0.8332538408059662
4,300,128,20,100,0,tardos,0.25,2,0.25,0.5390625,0.75,0.16201137984439953,0.11732326179222222,0.46866074298162996,0.657915857882596,0.6655513830713455,0.6730747121808949,0.8634746489681093,0.8149316051509423,0.8069714232502382,0.8162013467113209
4,300,128,20,100,0,tardos,0.25,0,0.3,0.453125,0.7,0.18340624846993234,0.1488180455412145,0.538946601966926,0.7628953626378288,0.7678909996353213,0.7853398911841201,0.9048964419025083,0.8727440041410582,0.8694465956158686,0.8846425706213537
4,300,128,20,100,0,tardos,0.25,1,0.3,0.484375,0.7,0.18423529626146326,0.14951889345745326,0.5339717875382101,0.7533891927003701,0.7496632023319704,0.7486272518017708,0.91217273553858,0.8706471713991668,0.8709022148433285,0.8891496895834947
4,300,128,20,100,0,tardos,0.25,2,0.3,0.484375,0.7,0.18402425888255833,0.147893857663248,0.5396166620349084,0.7388719058231231,0.7559665171023292,0.7567672095093433,0.9098442087322023,0.8687082618632338,0.8674180045650581,0.8796542938641785
4,300,128,20,100,0,tardos,0.25,0,0.35,0.4921875,0.65,0.20442045492252608,0.18221228544327772,0.6039388316976584,0.842172142771725,0.8528327627699208,0.8519135327411769,0.9356273769098146,0.910694477693741,0.9141073324358161,0.9270792666065817
4,300,128,20,100,0,tardos,0.25,1,0.35,0.5234375,0.65,0.20478004034030706,0.18203562980694354,0.5995962399251713,0.830936225099691,0.8218873922531443,0.8337192809302088,0.9395380086623457,0.9121164025312707,0.9115918792823834,0.9315290592224759
4,300,128,20,100,0,tardos,0.25,2,0.35,0.4765625,0.65,0.20470551498517076,0.1810353429803552,0.6097426130907266,0.824582787295028,0.8302617799469849,0.8345818833258714,0.938656430138478,0.9056309181196336,0.9050717951764441,0.9192171326797896
4,300,128,20,100,0,tardos,0.25,0,0.4,0.4375,0.6,0.22431802806275053,0.21685212372805288,0.6670000338386025,0.9033663568195026,0.9093824449051838,0.9187503277365411,0.9570295350622389,0.9394004063682158,0.9414586620669698,0.9484311943204383
4,300,128,20,100,0,tardos,0.25,1,0.4,0.515625,0.6,0.22488416473832482,0.21732561943309808,0.6671814809101089,0.9028639388723824,0.8878879620859179,0.9001079306937296,0.9592409080861857,0.9412518082418891,0.939440309363803,0.9557148113742995
4,300,128,20,100,0,tardos,0.25,2,0.4,0.375,0.6,0.22481724892598537,0.21640787800714262,0.671161140749714,0.881676246583134,0.8969032145107407,0.8860316977233561,0.9612857228231133,0.9350446820511282,0.9335806777221328,0.9489122332530582
4,300,128,20,100,0,tardos,0.25,0,0.45,0.453125,0.55,0.24371564567647983,0.25429799246759255,0.72407815365155,0.9572426274967327,0.9606987482816743,0.9490985981228128,0.9721191958247873,0.9618018784650836,0.9641742358634484,0.969967971874987
4,300,128,20,100,0,tardos,0.25,1,0.45,0.5,0.55,0.24444067125168548,0.25528568143597524,0.7274638489378805,0.951565782176541,0.9473584782319283,0.9466036280947857,0.9730727093905469,0.9629264209434201,0.9610899034474346,0.9721917863952648
