gamma,k,fingerprint_length,n_recipients,sk,id,code,embedding_ratio,vote_error,tp,tn
4,300,128,20,100,0,tardos,0.25,0.012162876784769964,1.0,0.8125
4,300,128,20,100,0,tardos,0.25,0.012162876784769964,1.0,0.796875
4,300,128,20,100,0,tardos,0.25,0.012162876784769964,1.0,0.7890625
4,300,128,20,100,0,tardos,0.25,0.012162876784769964,1.0,0.7890625
4,300,128,20,100,0,tardos,0.25,0.012162876784769964,1.0,0.7890625
4,300,128,20,100,0,tardos,0.25,0.012162876784769964,1.0,0.7890625
4,300,128,20,100,0,tardos,0.25,0.012162876784769964,1.0,0.7890625
4,300,128,20,100,0,tardos,0.25,0.012162876784769964,1.0,0.78125
4,300,128,20,100,0,tardos,0.25,0.012162876784769964,1.0,0.7734375
4,300,128,20,100,0,tardos,0.25,0.012162876784769964,1.0,0.7734375
4,300,128,20,100,0,tardos,0.25,0.012162876784769964,1.0,0.765625
4,300,128,20,100,0,tardos,0.25,0.012162876784769964,1.0,0.7578125
4,300,128,20,100,0,tardos,0.25,0.012162876784769964,1.0,0.7578125
4,300,128,20,100,0,tardos,0.25,0.012162876784769964,1.0,0.7578125
4,300,128,20,100,0,tardos,0.25,0.012162876784769964,1.0,0.75
4,300,128,20,100,0,tardos,0.25,0.012162876784769964,1.0,0.7421875
4,300,128,20,100,0,tardos,0.25,0.012162876784769964,1.0,0.7421875
4,300,128,20,100,0,tardos,0.25,0.012162876784769964,1.0,0.7421875
4,300,128,20,100,0,tardos,0.25,0.012162876784769964,1.0,0.71875
4,300,128,20,100,0,hash,0.25,0.012433284813197477,1.0,0.5859375
4,300,128,20,100,0,hash,0.25,0.012433284813197477,1.0,0.546875
4,300,128,20,100,0,hash,0.25,0.012433284813197477,1.0,0.5234375
4,300,128,20,100,0,hash,0.25,0.012433284813197477,1.0,0.515625
4,300,128,20,100,0,hash,0.25,0.012433284813197477,1.0,0.5078125
4,300,128,20,100,0,hash,0.25,0.012433284813197477,1.0,0.5
4,300,128,20,100,0,hash,0.25,0.012433284813197477,1.0,0.5
4,300,128,20,100,0,hash,0.25,0.012433284813197477,1.0,0.4921875
4,300,128,20,100,0,hash,0.25,0.012433284813197477,1.0,0.484375
4,300,128,20,100,0,hash,0.25,0.012433284813197477,1.0,0.484375
4,300,128,20,100,0,hash,0.25,0.012433284813197477,1.0,0.484375
4,300,128,20,100,0,hash,0.25,0.012433284813197477,1.0,0.4765625
4,300,128,20,100,0,hash,0.25,0.012433284813197477,1.0,0.4765625
4,300,128,20,100,0,hash,0.25,0.012433284813197477,1.0,0.46875
4,300,128,20,100,0,hash,0.25,0.012433284813197477,1.0,0.4609375
4,300,128,20,100,0,hash,0.25,0.012433284813197477,1.0,0.4609375
4,300,128,20,100,0,hash,0.25,0.012433284813197477,1.0,0.4453125
4,300,128,20,100,0,hash,0.25,0.012433284813197477,1.0,0.4375
4,300,128,20,100,0,hash,0.25,0.012433284813197477,1.0,0.4375
