gamma,k,fingerprint_length,n_recipients,sk,id,code,embedding_ratio,recipient_id,attribute,rel_delta_mean,rel_delta_std,hellinger_distance,kl_divergence,emd,ks,p_value
2,300,128,20,100,0,tardos,0.5,0,age,0.0005431323210850507,0.0012046837597318712,0.0019862539794979176,1.5788150813354198e-05,0.04087712293848414,0.0019348300113632422,0.9999999798554688
2,300,128,20,100,0,tardos,0.5,0,fnlwgt,0.00018711180991543252,0.0007559320195637979,0.005598736383448337,0.00011431488849470524,514.1497189889683,0.002518350173520534,0.9999447107537522
2,300,128,20,100,0,tardos,0.5,0,education-num,4.299622247477449e-05,0.00036770607728517515,0.0005140455913716208,1.0593950530182973e-06,0.0006449433371212778,0.0001228463499278274,1.0
2,300,128,20,100,0,tardos,0.5,0,capital-gain,0.007805307929311597,0.29808329273065526,0.1411590681674056,0.07246935588286135,780.5229876232273,0.02463069316052946,5.177829931136603e-09
2,300,128,20,100,0,tardos,0.5,0,capital-loss,0.00665902797007772,0.12864826063327395,0.0730709425234972,0.019769310520238625,29.006725837658554,0.016215718190473183,0.0003783526507781612
2,300,128,20,100,0,tardos,0.5,0,hours-per-week,0.00028204519116082927,0.012314943987568213,0.009775930509145792,0.00038156770193548866,0.16301710635422684,0.00789287798286295,0.26112268949435047
2,300,128,20,100,1,tardos,0.5,1,age,0.0005915135890360019,0.0019399061721368442,0.00228191503844329,2.0856376426000134e-05,0.04729584472221411,0.002180522711218935,0.9999987563214633
2,300,128,20,100,1,tardos,0.5,1,fnlwgt,0.00021752314794287592,0.00011764897862508949,0.005753318237276906,0.00012229430676289076,612.7389207948139,0.0034704093854611706,0.9891623318611638
2,300,128,20,100,1,tardos,0.5,1,education-num,4.504366164018355e-05,0.0003471809106759404,0.000516128892449482,1.0679756016323993e-06,0.0006756549246031908,0.0001228463499278274,1.0
2,300,128,20,100,1,tardos,0.5,1,capital-gain,0.007787650125510807,0.29703837855577647,0.1408745888412106,0.07217190645770287,778.757224900955,0.024692116335493397,4.6911471391181224e-09
2,300,128,20,100,1,tardos,0.5,1,capital-loss,0.0067347775788716025,0.12989186256936075,0.07370605723808409,0.020111753772555634,29.336691133564702,0.016338564540401057,0.000332127220881879
2,300,128,20,100,1,tardos,0.5,1,hours-per-week,0.00031150324445985923,0.010550232525600514,0.009803341485560894,0.00038352604691882286,0.15945456220632057,0.008077147507754678,0.23736765587079278
2,300,128,20,100,2,tardos,0.5,2,age,0.0006154938696725901,0.0014639353249929076,0.0021881434684910073,1.9169253471098815e-05,0.045790976935597485,0.0022419458861828168,0.999997170521912
2,300,128,20,100,2,tardos,0.5,2,fnlwgt,0.0002158197041985108,0.000297879080454251,0.005855931744048566,0.0001269973974623345,635.3162065047133,0.003163293510641596,0.9966597747464098
2,300,128,20,100,2,tardos,0.5,2,education-num,6.961293162580281e-05,0.0005236363625133313,0.0006363265107959252,1.625584730555716e-06,0.0010441939743865477,0.0001535579374097847,1.0
2,300,128,20,100,2,tardos,0.5,2,capital-gain,0.007799414316737683,0.29713947048006567,0.14083914305335338,0.07215601124618032,779.9336322594511,0.024845674272903184,3.66133993226126e-09
2,300,128,20,100,2,tardos,0.5,2,capital-loss,0.006808496669484857,0.12820300613201716,0.07315358619688155,0.019830969242589792,29.657811492276018,0.01670710359018457,0.00022333966637772933
2,300,128,20,100,2,tardos,0.5,2,hours-per-week,0.0003776271726097955,0.011869008957174442,0.009952238672635479,0.00039530657618346834,0.1671017474893273,0.00795430115782686,0.253017697285601
2,300,128,20,100,3,tardos,0.5,3,age,0.0005624848282654312,0.0016814092074875623,0.002190821698374131,1.9203749396883804e-05,0.045852400110561436,0.002211234298700848,0.9999981076906375
2,300,128,20,100,3,tardos,0.5,3,fnlwgt,0.00022769033075625535,6.089007426918924e-05,0.0056884029279183805,0.0001192738007579742,614.068241147384,0.003255428273087446,0.9950665296367062
2,300,128,20,100,3,tardos,0.5,3,education-num,4.299622247477449e-05,0.00036770607728517515,0.0005140455913716208,1.0593950530182973e-06,0.0006449433371212778,0.0001228463499278274,1.0
2,300,128,20,100,3,tardos,0.5,3,capital-gain,0.007644928880110951,0.29288369770489275,0.13866626494827447,0.07004067220980745,764.4852430822116,0.024753539510457334,4.249164486261177e-09
2,300,128,20,100,3,tardos,0.5,3,capital-loss,0.006781592303591574,0.13072208436517024,0.07408883960118316,0.020319301077459814,29.540616074444948,0.016399987715364994,0.0003110628970579279
2,300,128,20,100,3,tardos,0.5,3,hours-per-week,0.0002917600810785852,0.01193860651573612,0.009757869579939385,0.0003801462179487884,0.1615736617425751,0.008046435920272738,0.24121063141314503
2,300,128,20,100,4,tardos,0.5,4,age,0.0007202498324535825,0.0017839806054511071,0.0023405845700441253,2.194102244967956e-05,0.05595651239212507,0.002733331285894147,0.9996963419770575
2,300,128,20,100,4,tardos,0.5,4,fnlwgt,0.00022376681396996765,0.0013426729199555742,0.005726351295472373,0.00012008928633875645,583.2120327999698,0.0029790239857498957,0.9986372532418463
2,300,128,20,100,4,tardos,0.5,4,education-num,4.299622247477449e-05,0.00036770607728517515,0.0005140455913716208,1.0593950530182973e-06,0.0006449433371212778,0.0001228463499278274,1.0
2,300,128,20,100,4,tardos,0.5,4,capital-gain,0.007651842741823507,0.29225159108959564,0.1384382037475452,0.06980368737240154,765.1766223396075,0.024784251097939247,4.0436703405353155e-09
2,300,128,20,100,4,tardos,0.5,4,capital-loss,0.0066972341437610845,0.128085567133068,0.07313456923956178,0.0198033550271054,29.173151930223245,0.016399987715364994,0.0003110628970579279
2,300,128,20,100,4,tardos,0.5,4,hours-per-week,0.00023033690611471832,0.011990149931791554,0.00972747785509582,0.00037781327265182317,0.15973096649365742,0.007923589570344891,0.2570467178473108
2,300,128,20,100,5,tardos,0.5,5,age,0.000656302417422616,0.0016451000932786945,0.002331015708251545,2.175735903929194e-05,0.050674119345229356,0.002303369061146754,0.9999939740455374
2,300,128,20,100,5,tardos,0.5,5,fnlwgt,0.00020116531988137007,0.0007205669626694272,0.005532433860647556,0.00011137619999439878,514.6442983937783,0.0027640428733761713,0.999625173425962
