gamma,k,fingerprint_length,n_recipients,sk,id,embedding_ratio,recipient_id,accuracy,Horizontal_Distance_To_Hydrology-Vertical_Distance_To_Hydrology,Elevation-Horizontal_Distance_To_Roadways,Aspect-Hillshade_9am,Slope-Hillshade_Noon,Aspect-Hillshade_3pm,Hillshade_9am-Hillshade_3pm
2,300,64,20,100,0,0.5,0,0.041833333333333333,0.09767831353845481,0.0009831112986314042,0.0016385892529780816,0.04403968802129509,0.0001540217684676376,0.0004738088678585365
2,300,64,20,101,0,0.5,0,0.04247878787878788,0.0244246032938284,0.0017472426847954174,0.00308338752422538,0.004208720405359952,0.004942061037649484,0.003863668105329316
2,300,64,20,102,0,0.5,0,0.042606060606060606,0.021680759149952048,0.001283819348314845,0.004168310024131872,0.0003397646915687425,0.004321857116208401,0.0031405237732767106
2,300,64,20,103,0,0.5,0,0.042972727272727274,0.012814304890992011,0.0019016061071873524,0.0032272394606587262,0.0017365329500915897,0.0033741691910250185,0.0031200542423005877
2,300,64,20,104,0,0.5,0,0.042421212121212123,0.01650722795655241,0.00030711432160804774,0.0015555133466994317,0.0037474378249994895,0.002786107050255906,0.0031328203638868353
2,300,64,20,105,0,0.5,0,0.042421212121212123,0.015698115647342723,0.00042444988598985085,0.0038518391276880413,0.003627764978257087,0.0044556788405291144,0.002476450265982707
2,300,64,20,106,0,0.5,0,0.04210909090909091,0.017329517377607347,0.002988217786805795,0.003973070273666839,0.00015987051620430223,0.0039900655939133734,0.0049129810552870044
2,300,64,20,107,0,0.5,0,0.04219090909090909,0.01806726351828179,0.0015046303345836345,0.0027671271885307924,0.0018258941289770007,0.004992298467098443,0.004693757979620573
2,300,64,20,108,0,0.5,0,0.04248787878787879,0.02234859448409949,0.0037904586570644758,0.0019567602419227684,0.004594790802175117,0.005884844985265119,0.005848947147615231
2,300,64,20,109,0,0.5,0,0.04215151515151515,0.016884600485684832,0.0030635149508131507,0.0032471773175167993,0.003751624319264334,0.004645381118236852,0.004409565238252616
2,300,128,20,100,0,0.5,0,0.04208181818181818,0.01071206149796853,0.0014878478210357644,0.0037362825276526642,0.002216156468180286,0.004476372068828698,0.004111315088199735
2,300,128,20,100,1,0.5,1,0.04197878787878788,0.011965391301205223,0.00039804659377696183,0.002138002990607755,0.0025181726760833993,0.0054423589329574105,0.0039537518710009
2,300,128,20,100,2,0.5,2,0.04205151515151515,0.010095714771722853,0.0010867855532993014,0.002285307001520314,0.0008316359616209659,0.005666678580187581,0.004757734262553466
2,300,128,20,100,3,0.5,3,0.04197272727272727,0.01044647549119868,0.0012092564419796837,0.003881746107373951,0.0018228041362104263,0.004882313911558991,0.0038286623696657694
2,300,128,20,100,4,0.5,4,0.04194242424242424,0.011270661346802786,0.000707636557766559,0.0031561333829414166,0.0032558950061288474,0.004985586860823343,0.005275555309862108
2,300,128,20,100,5,0.5,5,0.04200606060606061,0.010123372984430562,0.00010114582690296976,0.00381799763289609,0.0002581487703153164,0.004312792828961458,0.005069112601716259
2,300,128,20,100,6,0.5,6,0.04201515151515151,0.011180215301335415,0.0006019890004743917,0.0040088263034158775,0.002025718969089912,0.005091188641860202,0.00468137755490863
2,300,128,20,100,7,0.5,7,0.042027272727272726,0.008693971266214143,0.001529275253461763,0.0023063856851123087,0.003671875110990741,0.0047559479316962765,0.005257996261331127
2,300,128,20,100,8,0.5,8,0.042106060606060605,0.010255789305257416,0.00046975593562738116,0.002623654543780892,0.0012728068438552368,0.00507837554691564,0.0043410952486573045
2,300,128,20,100,9,0.5,9,0.04207575757575758,0.007439449917055967,0.0017905190723757221,0.0024232414752175936,0.003005894632022224,0.0056988200570678256,0.004436426055464372
2,300,128,20,100,10,0.5,10,0.04213636363636364,0.011355647745791756,0.0003975380399733461,5.223506202495919e-05,0.0009836184058436381,0.005328879817289701,0.0048719312615242765
2,300,128,20,100,11,0.5,11,0.04207878787878788,0.010888446219714229,0.002956582688967417,0.001898315049441684,0.001336480205565808,0.005241532893396871,0.004898826232554092
2,300,128,20,100,12,0.5,12,0.042,0.010913316079592294,0.00021845688302096536,0.0039614751726238665,0.0020882785772851405,0.005918391848968399,0.004982037871696698
2,300,128,20,100,13,0.5,13,0.04199090909090909,0.007933840490515409,0.0022221644008049517,0.003397687627562868,0.0037714036227944237,0.005471019428060884,0.0049742916113049975
2,300,128,20,100,14,0.5,14,0.04200606060606061,0.009642006838710927,0.001827310803194987,0.0033852866349813188,0.00388600984857557,0.00519113924319409,0.005124223279266202
2,300,128,20,100,15,0.5,15,0.04195151515151515,0.012940876505646444,0.0009424850715300477,0.00267291598253239,0.0002241403734121429,0.004203308539838308,0.0038831482939103946
