gamma,k,fingerprint_length,n_recipients,sk,id,embedding_ratio,recipient_id,Horizontal_Distance_To_Hydrology_Vertical_Distance_To_Hydrology,Elevation_Horizontal_Distance_To_Roadways,Aspect_Hillshade_9am,Slope_Hillshade_Noon,Aspect_Hillshade_3pm,Hillshade_9am_Hillshade_3pm
2,300,64,20,100,0,0.5,0,0.09767831353845369,0.0009831112986314042,-0.0016385892529778828,-0.04403968802129509,0.00015402176846802406,-0.00047380886785882906
2,300,64,20,101,0,0.5,0,0.11409297990488078,0.0017472426847956132,-0.0006650846478721839,-0.037815251340187976,0.0011164032696703823,-6.880376710993433e-05
2,300,64,20,102,0,0.5,0,0.1048899968031916,0.001283819348315432,-0.002555516042668395,-0.04353600135387067,0.0003798376112084125,-0.0012461048329831857
2,300,64,20,103,0,0.5,0,0.09890167929762891,0.0019016061071881352,-0.0014936986462098587,-0.04110085147405919,0.001170939606806385,-0.0017443059401073325
2,300,64,20,104,0,0.5,0,0.10083875282137973,0.00030711432160902613,-0.0002590510079037408,-0.035222266925302406,0.0008095373673993024,-0.0011645441768552245
2,300,64,20,105,0,0.5,0,0.09838932494366001,0.00042444988598985085,-0.002540517229814684,-0.03408016730405156,0.0005023591486153711,-0.0002769103550082214
2,300,64,20,106,0,0.5,0,0.09652987669344337,0.002988217786804621,-0.002194111023084122,-0.03652264923338281,0.0012979866263609788,-0.0006651821932444559
2,300,64,20,107,0,0.5,0,0.10850132608929361,0.0015046303345842215,-0.0015164928204713837,-0.03457110381322408,0.0003666595781871966,-0.0009289897118349773
2,300,64,20,108,0,0.5,0,0.10606690503747516,0.0037904586570644758,-0.0010760412665010597,-0.03386171249474464,0.0008752470295187993,-0.0009803847099034895
2,300,64,20,109,0,0.5,0,0.09686583383333552,0.0030635149508121723,-0.0007331599544489747,-0.038770166810601504,0.00046253803759902504,-0.0007558108147214444
2,300,128,20,100,0,0.5,0,0.09636466604478289,0.0014878478210357644,-0.0023733044340339096,-0.042518818939019126,9.894952494329363e-06,-0.0006819597078233923
2,300,128,20,101,0,0.5,0,0.11032340820546625,0.001913753943313492,-0.0005823458099143333,-0.03589396301081452,0.0009321690272776661,-0.00021176723593882845
2,300,128,20,102,0,0.5,0,0.10557006030347951,0.0006007612955842923,-0.002252295203218755,-0.04244310593730907,0.000926521976373864,-0.001045785809886198
2,300,128,20,103,0,0.5,0,0.10010218311365132,0.0012782441752075917,-0.00016019832603566875,-0.04305080435283662,0.0004032303362139616,-0.0007187831268216711
2,300,128,20,104,0,0.5,0,0.10265104542883166,0.002637132759907702,-0.0007011881547100892,-0.034486328570543526,0.0008739182639312412,-0.0005528483671326109
2,300,128,20,105,0,0.5,0,0.09897571781704201,0.001141972182650873,-0.002126714749031011,-0.034266886510824386,0.0004505320734372058,-0.0007977903917640439
2,300,128,20,106,0,0.5,0,0.10117741217460964,0.0040588440651179265,-0.002595467810617862,-0.03586338294151139,0.0004891917418307755,-0.001018890485389295
2,300,128,20,107,0,0.5,0,0.116544221409317,0.001133088522899913,-0.0014071333914179138,-0.03410846822792744,0.000394662914830667,-0.0009385286990479546
2,300,128,20,108,0,0.5,0,0.10832553648318327,0.00475347668200078,-0.0005209565810469667,-0.03344951968266353,1.4423844383131352e-06,-0.0006683294935450164
2,300,128,20,109,0,0.5,0,0.10018938673754041,0.005219852446026687,-4.1507122091359694e-05,-0.03729359028270947,0.0007763398842947208,-0.00022053224263547167
2,300,256,20,100,0,0.5,0,0.09212153489686266,0.0014520572419639733,-0.0027131502237568617,-0.04150810234013291,0.00021532374065512535,-0.0003355904044069554
2,300,256,20,101,0,0.5,0,0.1133632256298495,0.0012243370735354501,-0.00021459206812301466,-0.03891449519003382,0.00029648028727431215,-0.00035342735938550846
2,300,256,20,102,0,0.5,0,0.10446539997316658,0.002000110886560527,-0.0014482014006063294,-0.040488051157527724,0.0003774894530269247,-0.0011416693354454846
2,300,256,20,103,0,0.5,0,0.10066117803990726,0.0026713755741040405,-0.0009202392554440369,-0.04413988179235758,0.0003583248355252781,-0.0012962046516160296
2,300,256,20,104,0,0.5,0,0.1088261518136539,0.0021889771789166783,-0.00025192408198131713,-0.03530179386272107,0.00027746934520786373,-0.0006819810997507396
2,300,256,20,105,0,0.5,0,0.10020915986138866,0.00029750403318542194,-0.0014917534827071622,-0.0345810687032039,0.00021063171020213446,-0.0003062223215973049
2,300,256,20,106,0,0.5,0,0.09618210465594791,0.005156311627751753,-0.0036343137325143605,-0.03444752887470852,0.00023156627912792889,-0.0010998339365947542
2,300,256,20,107,0,0.5,0,0.11282864398177302,0.0007104483378431849,-0.0003242329025834384,-0.03434953870089385,0.0011853642497453726,-0.0012190831552660979
2,300,256,20,108,0,0.5,0,0.10697372767655328,0.0032602114824617323,-0.0008630817767207382,-0.0372146545494815,0.0008270695388146766,-0.0009842705235674216
2,300,256,20,109,0,0.5,0,0.09910782409883036,0.0016718591980837056,-0.0015305127294032476,-0.03505553241969523,1.4377161830868304e-05,-0.0005528106538572605
2,500,64,20,100,0,0.5,0,0.10423097213361046,0.00026327533787533604,-0.0017501392746431942,-0.04740744757540632,0.0002591609371835896,-5.0969333129412225e-05
2,500,64,20,101,0,0.5,0,0.1169569039887778,0.0008856009150237274,-0.0010371773392807014,-0.041501616293714835,0.002099792142216918,-0.0009099127129406497
2,500,64,20,102,0,0.5,0,0.10855855076498351,0.0002417437039505563,-0.002878565871982852,-0.04844942410174029,0.0006456521564745158,-0.0012383562271299326
2,500,64,20,103,0,0.5,0,0.106699958587488,0.0034885628143189636,-0.0024009200132971446,-0.04589665501663731,0.0006531318489971001,-0.0006580705300611293
2,500,64,20,104,0,0.5,0,0.10844238842736102,0.00019899048473048691,-0.0008464813587487405,-0.04008332213500281,0.0016809669450105352,-0.001635845365893667
2,500,64,20,105,0,0.5,0,0.10597027361335452,0.001170011730399608,-0.002674399282108833,-0.03963931037012274,0.0013922283732788275,-0.00023476089533785836
2,500,64,20,106,0,0.5,0,0.10335907952705117,0.0022273891533858155,-0.0027107126779231734,-0.039237002269304135,0.0009674382172428159,-1.102838623122044e-05
2,500,64,20,107,0,0.5,0,0.11088959697991353,0.0006327558380654915,-0.00032535235728632753,-0.03829861019638971,0.0009880684315524877,-0.0003118365688583082
2,500,64,20,108,0,0.5,0,0.11517963658050095,0.0049376354460869566,-0.0012138219088481494,-0.03777547194350414,0.00017455890875955576,-0.00027246040558156055
2,500,64,20,109,0,0.5,0,0.10094495778327442,0.0036824415873272344,-0.0006418766172251377,-0.04266127171662361,0.0015525114359991295,-0.00029246965097691816
2,500,128,20,100,0,0.5,0,0.10195527496719997,0.0021396165041052298,-0.0027222762859186985,-0.04604461745227051,0.0004504042093568263,-0.0003450386661494973
2,500,128,20,101,0,0.5,0,0.11285804295933528,0.001044082276406969,-0.001330966990996493,-0.04041045198123242,0.0014335900375977092,-0.00010999503159580961
2,500,128,20,102,0,0.5,0,0.10904466789806375,0.00021872059737925402,-0.002755518610345825,-0.0471024561388197,0.00015002117998628913,-0.0006709882175383797
2,500,128,20,103,0,0.5,0,0.10655946857437311,0.0020722739302381677,-0.0011064340339390695,-0.04811472402975726,0.0006708442670243323,-0.00010184018715662475
2,500,128,20,104,0,0.5,0,0.11193954150097767,0.0038550183878998546,-0.00032818759671200546,-0.03828404023327121,0.00013840495564722413,-0.0003583943922002614
2,500,128,20,105,0,0.5,0,0.10793719862932932,0.00015239809386421562,-0.0016157230694625292,-0.0383968923070289,0.0006477720465232613,-9.571923926949951e-05
2,500,128,20,106,0,0.5,0,0.10649726213636507,0.003353133117912536,-0.0038400336286501364,-0.03862195236165249,0.0001162019516201758,-0.0006021809198891405
2,500,128,20,107,0,0.5,0,0.1199522822481906,0.0003762607943267567,-0.0009301626350617253,-0.03783473956083886,0.0019133115187368846,-0.00019377083875330177
2,500,128,20,108,0,0.5,0,0.1146003169193666,0.005682840670382057,-0.0009266487342736975,-0.036265472983606606,0.0007864831039300654,-0.00018714986386855317
2,500,128,20,109,0,0.5,0,0.10692824985640144,0.005399046878683257,-0.0002726463299301518,-0.04070638315528883,0.0016402412613734083,-0.00012307438192378528
2,500,256,20,100,0,0.5,0,0.0967565947181505,0.002153511253923014,-0.0028919904342865886,-0.04478243450546372,0.0007465921371387193,-0.0003235756969144794
2,500,256,20,101,0,0.5,0,0.11817970106289254,0.0005171028609955163,-0.00011619045928565622,-0.04199859230844702,0.0012987871854170877,-0.0006671711412400663
2,500,256,20,102,0,0.5,0,0.10814379572990182,0.0010693356936967739,-0.0016006750573378692,-0.04550326298785788,0.00014780821699170906,-0.0012873994134547126
2,500,256,20,103,0,0.5,0,0.11008308245028584,0.0035586352344028037,-0.002611915364016254,-0.048525637109583325,0.0007407142674183512,-0.0004999624634597194
2,500,256,20,104,0,0.5,0,0.11749241879134616,0.0030059795525761396,-0.00037001053289957006,-0.0404778393486125,0.0001762208436971983,-9.221118597139277e-05
2,500,256,20,105,0,0.5,0,0.10757516789319335,0.0005667589096777658,-0.0021221182577973907,-0.0394037883258435,0.0012733018023499548,-0.001362057538737407
2,500,256,20,106,0,0.5,0,0.10347727054003351,0.004163370299187401,-0.004685869861628923,-0.0379474671894553,0.0007260490855749088,-0.0002475987945863602
2,500,256,20,107,0,0.5,0,0.11817970106289254,0.0005171028609955163,-0.00011619045928565622,-0.04199859230844702,0.0012987871854170877,-0.0006671711412400663
2,500,256,20,108,0,0.5,0,0.11817970106289254,0.0005171028609955163,-0.00011619045928565622,-0.04199859230844702,0.0012987871854170877,-0.0006671711412400663
2,500,256,20,109,0,0.5,0,0.11817970106289254,0.0005171028609955163,-0.00011619045928565622,-0.04199859230844702,0.0012987871854170877,-0.0006671711412400663
4,300,64,20,100,0,0.25,0,0.05116923814438132,4.748715763770655e-05,-0.001323514413829929,-0.02433647223630707,0.00015038953299113868,-0.0003120735012134756
4,300,64,20,101,0,0.25,0,0.05642815226296287,0.0004956524763819402,-0.0003203782133384547,-0.02139157374724546,0.0003218216463343157,-0.00033547111437659213
