gamma,k,fingerprint_length,n_recipients,sk,id,embedding_ratio,recipient_id,attribute,rel_delta_mean,rel_delta_std
2,300,64,20,100,0,0.5,0,Id,0.0,0.0
2,300,64,20,100,0,0.5,0,Elevation,0.00028392077878469256,0.0022725013535687018
2,300,64,20,100,0,0.5,0,Aspect,0.0001403703703703722,2.601099464347825e-05
2,300,64,20,100,0,0.5,0,Slope,2.3497267759585733e-05,0.0017439683499992555
2,300,64,20,100,0,0.5,0,Horizontal_Distance_To_Hydrology,0.0014705137751302986,0.004063498457268858
2,300,64,20,100,0,0.5,0,Vertical_Distance_To_Hydrology,0.0011435714285714278,0.018546526446574722
2,300,64,20,100,0,0.5,0,Horizontal_Distance_To_Roadways,0.0004634583860240801,0.003619972442791416
2,300,64,20,100,0,0.5,0,Hillshade_9am,0.00013989501312341586,0.002740940419412896
2,300,64,20,100,0,0.5,0,Hillshade_Noon,0.00016602150537635445,0.002681688933711342
2,300,64,20,100,0,0.5,0,Hillshade_3pm,3.7768817204294226e-05,0.0011839220654692505
2,300,64,20,100,0,0.5,0,Horizontal_Distance_To_Fire_Points,0.002274325015102942,0.0008333457700702902
2,300,64,20,100,0,0.5,0,Cover_Type,0.004227777777777793,0.0007178515945533622
2,300,64,20,101,0,0.5,0,Id,0.0,0.0
2,300,64,20,101,0,0.5,0,Elevation,0.0003011581067470815,0.0020624101314793775
2,300,64,20,101,0,0.5,0,Aspect,0.0003362962962963283,0.0006079541027490799
2,300,64,20,101,0,0.5,0,Slope,0.00019398907103825548,0.0028599273986323385
2,300,64,20,101,0,0.5,0,Horizontal_Distance_To_Hydrology,0.0017359642591213717,0.006043404489534508
2,300,64,20,101,0,0.5,0,Vertical_Distance_To_Hydrology,0.0007034285714285764,0.011150304514224644
2,300,64,20,101,0,0.5,0,Horizontal_Distance_To_Roadways,0.0005158259566296576,0.0028817793391483076
2,300,64,20,101,0,0.5,0,Hillshade_9am,9.514435695540594e-05,0.0016325906831298077
2,300,64,20,101,0,0.5,0,Hillshade_Noon,0.00011526881720427693,0.0014148794870797814
2,300,64,20,101,0,0.5,0,Hillshade_3pm,3.696236559136423e-05,0.0008356609061312766
2,300,64,20,101,0,0.5,0,Horizontal_Distance_To_Fire_Points,0.002257298201589308,0.0009377432780309031
2,300,64,20,101,0,0.5,0,Cover_Type,0.004444444444444473,0.0010768472967331991
2,300,64,20,102,0,0.5,0,Id,0.0,0.0
2,300,64,20,102,0,0.5,0,Elevation,0.0005852970795567506,0.0032283852605675687
2,300,64,20,102,0,0.5,0,Aspect,0.00025407407407406087,9.59375699846858e-05
2,300,64,20,102,0,0.5,0,Slope,6.721311475411644e-05,0.0020223895120599633
2,300,64,20,102,0,0.5,0,Horizontal_Distance_To_Hydrology,0.0016551005212211516,0.0024382880828263584
2,300,64,20,102,0,0.5,0,Vertical_Distance_To_Hydrology,0.0005939523809523857,0.010417632525285195
2,300,64,20,102,0,0.5,0,Horizontal_Distance_To_Roadways,0.00022894009648258477,0.002050155573047862
2,300,64,20,102,0,0.5,0,Hillshade_9am,0.00012020997375324312,0.0016421341303240766
2,300,64,20,102,0,0.5,0,Hillshade_Noon,0.0002219354838710006,0.003196875330653136
2,300,64,20,102,0,0.5,0,Hillshade_3pm,4.690860215060499e-05,0.001591832785805104
