Id,Elevation,Aspect,Slope,Horizontal_Distance_To_Hydrology,Vertical_Distance_To_Hydrology,Horizontal_Distance_To_Roadways,Hillshade_9am,Hillshade_Noon,Hillshade_3pm,Horizontal_Distance_To_Fire_Points,Cover_Type
0,2596,51,3,258,0,510,221,232,148,6279,5
1,2590,56,2,212,-6,390,220,235,151,6225,5
2,2804,139,9,268,65,3180,234,238,135,6121,2
3,2785,155,18,242,118,3090,238,238,122,6211,2
4,2595,45,2,153,-1,391,220,234,150,6172,5
5,2579,132,6,300,-15,67,230,237,140,6031,2
6,2606,45,7,270,5,633,222,225,138,6256,5
7,2605,49,4,234,7,573,222,230,144,6228,5
8,2617,45,9,240,56,666,223,221,133,6244,5
9,2612,59,10,247,11,636,228,219,124,6230,5
10,2612,201,4,180,51,735,218,243,161,6222,5
11,2886,151,11,371,26,5253,234,240,136,4051,2
12,2742,134,22,150,69,3215,248,224,92,6091,2
13,2609,214,7,150,46,771,213,247,170,6211,5
14,2503,157,4,67,4,674,224,240,151,5600,5
15,2495,51,7,42,2,752,224,225,137,5576,5
16,2610,259,1,120,-1,607,216,239,161,6096,5
17,2517,72,7,85,6,595,228,227,133,5607,5
18,2504,0,4,95,5,691,214,232,156,5572,5
19,2503,38,5,85,10,741,220,228,144,5555,5
20,2501,71,9,60,8,767,230,223,126,5547,5
21,2880,209,17,216,30,4986,206,253,179,4323,2
22,2768,114,23,192,82,3339,252,209,71,5972,5
23,2511,54,8,124,0,638,225,222,130,5569,5
24,2507,22,9,120,14,732,215,221,143,5534,5
25,2492,135,6,0,0,860,229,237,142,5494,5
26,2669,163,10,30,-4,849,230,243,145,5486,5
27,2962,148,16,323,23,5916,240,236,120,3395,2
28,2811,135,1,212,30,3670,220,238,154,5643,2
29,2739,117,24,127,53,3281,253,210,71,6033,5
30,2703,122,30,67,27,3191,254,201,52,6123,5
31,2522,105,7,120,1,595,233,231,130,5569,5
32,2519,102,6,124,4,616,230,233,137,5559,5
33,2516,23,6,150,4,658,216,227,147,5541,5
34,2515,41,9,162,4,680,221,220,133,5532,5
35,2900,45,19,242,20,5199,221,195,100,4115,2
36,2709,125,28,67,23,3224,253,207,61,6094,5
37,2511,92,7,182,18,722,231,229,131,5494,5
38,2749,98,30,124,53,3316,252,183,36,6005,5
39,2686,354,12,0,0,3167,200,219,157,6155,5
40,2699,347,3,0,0,2096,213,234,159,6853,1
41,2570,346,2,0,0,331,215,235,158,5745,2
42,2533,71,9,150,-3,577,230,223,126,5552,5
43,2703,330,27,30,17,3141,146,197,184,6186,5
44,2678,128,5,95,23,1660,229,236,141,6546,2
45,2529,68,8,210,-5,666,228,225,130,5484,5
46,2524,94,7,212,-4,684,232,229,130,5474,5
47,2536,99,6,234,0,659,230,232,136,5475,5
48,2498,66,6,95,7,900,227,227,135,5357,5
49,2489,100,7,85,13,810,232,231,131,5334,5
50,2713,117,30,60,17,3297,254,198,48,6039,5
51,2739,323,25,85,43,3118,149,205,192,6219,1
52,2696,72,2,30,0,3271,222,234,149,6071,1
53,2510,79,14,192,19,891,237,215,106,5325,5
54,2502,81,7,175,11,912,230,227,129,5316,5
55,2722,315,24,30,19,3216,148,212,200,6132,1
56,2500,74,11,190,9,930,233,219,116,5279,5
57,2486,68,5,180,-4,870,225,230,139,5262,5
58,2489,11,4,175,13,840,216,232,153,5254,5
59,2489,42,6,162,13,810,221,227,141,5247,5
60,2490,75,5,134,17,810,227,230,137,5218,5
61,2952,107,11,42,7,5845,239,226,116,3509,2
62,2705,90,8,134,22,2023,232,228,129,6615,2
63,2507,40,7,153,10,930,221,224,138,5221,5
64,2500,49,14,150,27,870,225,210,116,5205,5
65,2493,63,10,127,20,840,229,221,124,5197,5
66,2509,59,7,134,10,900,226,226,134,5184,5
67,2919,13,13,90,6,5321,207,214,142,4060,1
68,2740,54,6,218,42,2287,224,227,138,6686,2
69,2640,80,8,180,-2,1092,231,225,127,5866,2
70,2843,166,12,242,53,4434,230,244,144,4956,2
71,3008,45,14,277,10,6371,223,208,116,3036,2
72,2893,114,16,108,30,5066,245,223,102,4340,2
73,2850,6,9,0,0,4858,210,223,151,4548,2
74,2628,30,10,240,19,960,217,218,136,5645,2
75,2864,118,18,201,74,4567,248,221,93,4849,2
76,2827,160,28,134,65,3948,235,233,108,5474,1
77,2529,326,15,30,14,1062,207,234,166,5047,2
78,2808,99,7,382,95,3107,233,230,130,6341,1
79,2840,153,26,134,42,4613,241,231,102,4833,2
80,2795,79,20,531,96,2980,233,223,121,6497,1
81,2746,143,16,67,22,2440,241,235,119,6597,2
82,2847,352,26,150,82,3697,166,187,152,5796,1
83,2840,14,14,216,88,3552,206,210,140,5944,1
84,2537,42,7,210,17,1132,222,224,137,4919,2
85,2860,358,17,175,98,3705,191,206,151,5800,1
86,2818,332,26,30,17,4526,151,197,181,4978,2
87,2801,18,7,560,58,3084,215,226,148,6457,2
88,2791,63,10,418,48,2942,229,221,124,6606,2
89,2745,306,11,67,24,2416,190,234,184,6428,2
90,2514,102,6,272,-5,1082,230,233,137,4811,2
91,2788,13,16,30,8,4126,203,206,133,5396,2
92,2562,354,12,67,9,1057,200,218,156,5031,2
93,3073,173,12,108,-3,6836,227,246,149,2735,2
94,2978,71,10,426,85,5742,231,221,121,3792,2
95,2860,31,10,295,98,3644,218,218,135,5904,1
96,3067,164,11,85,7,6811,230,243,144,2774,2
97,2775,72,5,543,61,3115,225,231,141,6471,2
98,2562,59,3,0,0,1116,221,233,148,5091,2
99,2567,34,9,190,16,1136,219,221,138,4924,2
100,2998,45,8,351,16,5842,223,222,134,3721,2
101,2684,84,12,150,2,1677,237,220,113,5693,2
102,2676,42,11,150,-5,1634,222,216,128,5655,2
103,2863,102,15,190,71,4389,244,219,100,5184,1
104,2574,170,5,170,23,1180,224,242,153,4910,2
105,2511,211,6,162,30,1071,216,245,166,4660,2
106,3067,32,4,30,-2,6679,219,230,147,2947,2
107,2909,57,16,134,23,5502,229,203,102,4084,2
108,2863,348,14,309,89,3918,193,216,161,5695,1
109,2567,333,1,0,0,1266,216,237,158,5079,2
110,3182,105,11,408,33,6000,240,226,115,1184,1
111,2818,324,12,242,26,4156,189,227,177,5467,3
112,2752,332,6,342,24,2372,207,233,165,6131,2
113,2751,88,5,400,30,2322,228,231,137,6088,2
114,2569,102,7,228,18,1266,232,231,132,4844,2
115,3195,111,15,469,46,5941,245,222,101,1206,1
116,2982,53,14,240,63,5756,227,209,112,3880,2
117,2850,58,6,295,58,4394,225,227,137,5239,1
118,2586,76,4,190,30,1290,225,232,143,4875,2
119,2837,17,13,330,45,4241,208,211,138,5428,1
120,2723,99,6,301,34,2109,230,232,136,5793,2
121,3070,0,11,30,-6,6890,204,220,153,2858,2
122,3057,124,12,150,53,6508,240,231,118,3211,2
123,2818,119,19,30,10,5213,248,220,92,4497,2
124,2847,320,33,85,39,4983,120,190,199,4727,2
125,2606,112,11,30,4,1584,239,228,119,5106,2
126,2893,83,6,551,101,4011,229,230,135,5755,2
127,2716,1,10,234,27,2100,206,222,153,5581,2
128,2644,125,20,67,25,1719,249,221,90,5168,2
129,2613,37,5,216,34,1519,220,229,146,4818,2
130,2929,356,12,0,0,5757,201,219,155,4017,2
131,2767,307,12,30,8,2796,187,233,186,6192,2
132,2991,49,13,85,0,6199,225,211,117,3613,1
133,2939,56,18,95,20,5563,229,200,98,4224,2
134,2537,7,12,0,0,1583,205,216,148,4509,2
135,3119,119,7,162,10,6660,233,234,133,2556,2
136,2942,346,12,30,3,5918,197,221,162,3900,1
137,2886,12,7,570,94,4295,213,226,150,5518,1
138,2775,344,13,42,7,2854,194,219,164,6177,2
139,2490,79,9,240,13,878,232,224,124,4184,2
