,embedding_ratio,attribute,k,mean,std
0,0.03125,age,300,0.0004691342711563,
1,0.03125,age,450,0.0004459086306961,
2,0.03125,capital-gain,300,0.0101108210787216,
3,0.03125,capital-gain,450,0.009954106104539,
4,0.03125,capital-loss,300,0.0047809276750953,
5,0.03125,capital-loss,450,0.0051225972197989,
6,0.03125,education,300,0.0002862842879406,
7,0.03125,education,450,0.0003336168658038,
8,0.03125,education-num,300,0.0,
9,0.03125,education-num,450,0.0,
10,0.03125,fnlwgt,300,0.0004461310966959,
11,0.03125,fnlwgt,450,0.0005033518578095,
12,0.03125,hours-per-week,300,0.0009758319198926,
13,0.03125,hours-per-week,450,0.0009752702176894,
14,0.03125,income,300,0.0005837888159075,
15,0.03125,income,450,0.0006091577199111,
16,0.03125,marital-status,300,0.0016222289402659,
17,0.03125,marital-status,450,0.0047294589567829,
18,0.03125,native-country,300,0.001300981117366,
19,0.03125,native-country,450,0.0014368266871305,
20,0.03125,occupation,300,0.0005165258242243,
21,0.03125,occupation,450,0.0006180632273431,
22,0.03125,race,300,0.0006649197411589,
23,0.03125,race,450,0.0006649197411589,
24,0.03125,relationship,300,0.000544198037799,
25,0.03125,relationship,450,0.0005267891830314,
26,0.03125,sex,300,0.0001384778229275,
27,0.03125,sex,450,0.0001384778229275,
28,0.03125,workclass,300,0.0006012451170616,
29,0.03125,workclass,450,0.0005465208990247,
30,0.0625,age,300,0.0007180168045082,
31,0.0625,age,450,0.0008085152803928,
32,0.0625,capital-gain,300,0.0238278851572816,
33,0.0625,capital-gain,450,0.0215125519448493,
34,0.0625,capital-loss,300,0.0086653030552364,
35,0.0625,capital-loss,450,0.0088302515580745,
36,0.0625,education,300,0.0002862842879406,
37,0.0625,education,450,0.0004277729708981,
38,0.0625,education-num,300,0.0,
39,0.0625,education-num,450,0.000322266715292,
40,0.0625,fnlwgt,300,0.0011236451556352,
41,0.0625,fnlwgt,450,0.0011431358211687,
42,0.0625,hours-per-week,300,0.001571011732184,
43,0.0625,hours-per-week,450,0.0016200522440214,
44,0.0625,income,300,0.0012430237294175,
45,0.0625,income,450,0.0013190416753887,
46,0.0625,marital-status,300,0.0041514541871252,
47,0.0625,marital-status,450,0.0089469806246179,
48,0.0625,native-country,300,0.002365936608245,
49,0.0625,native-country,450,0.0024198253514443,
50,0.0625,occupation,300,0.0008545924087926,
51,0.0625,occupation,450,0.0010970936091546,
52,0.0625,race,300,0.0015043275802259,
53,0.0625,race,450,0.0015043275802259,
54,0.0625,relationship,300,0.00109483183357,
55,0.0625,relationship,450,0.0009707366372357,
56,0.0625,sex,300,4.615710592652409e-05,
57,0.0625,sex,450,2.307774027611448e-05,
58,0.0625,workclass,300,0.0011574792259513,
59,0.0625,workclass,450,0.0010915090876437,
60,0.125,age,300,0.0011461986530304,
61,0.125,age,450,0.0012915848361349,
62,0.125,capital-gain,300,0.0466472377865721,
63,0.125,capital-gain,450,0.0458837452982212,
64,0.125,capital-loss,300,0.0180740950321602,
