,embedding_ratio,attribute,mean,std
0,0.03125,age,0.00014905503706792971,4.836136766719068e-05
1,0.03125,capital-gain,4.4766881696873446e-07,1.7712295573766425e-07
2,0.03125,capital-loss,8.66060914584046e-06,1.6914876376734225e-06
3,0.03125,education,0.0017825405437452203,0.0003409919493983057
4,0.03125,education-num,0.00161674951962116,0.0009728691364370645
5,0.03125,fnlwgt,2.6958135256209016e-08,1.1656148540304425e-08
6,0.03125,hours-per-week,0.00030012301888724,5.9875842946355585e-05
7,0.03125,income,0.0,0.0
8,0.03125,marital-status,0.0044435145149777,0.0008322783851910499
9,0.03125,native-country,0.09496917603900279,3.478672846843406e-05
10,0.03125,occupation,0.16947770301351447,2.3341560418831464e-05
11,0.03125,race,0.0028998838904974,0.0005480064381634726
12,0.03125,relationship,0.0008967879129421101,0.0002361922808099031
13,0.03125,sex,0.00034378501430513,0.00019466067556210608
14,0.03125,workclass,0.16924837486887528,7.073398866533282e-05
15,0.0625,age,0.00021390531413301002,4.8756840576338365e-05
16,0.0625,capital-gain,8.135832061128628e-07,2.0722575123229355e-07
17,0.0625,capital-loss,1.73260027371949e-05,2.415225685951436e-06
18,0.0625,education,0.0035088343439261898,0.0006859911441461745
19,0.0625,education-num,0.00282200182879739,0.0010333097709507941
20,0.0625,fnlwgt,3.3561089047019617e-08,9.741362885176792e-09
21,0.0625,hours-per-week,0.0005205775448376,6.518378034703733e-05
22,0.0625,income,0.0,0.0
23,0.0625,marital-status,0.00794199379941369,0.000975109870348234
24,0.0625,native-country,0.0952495227856812,8.189094620251878e-05
25,0.0625,occupation,0.16956426107107922,5.1900896843199316e-05
26,0.0625,race,0.00546664449069487,0.0007280946452789833
27,0.0625,relationship,0.0016042250218581502,0.0002746642363314701
28,0.0625,sex,0.00064592849574892,0.0003107178283543067
29,0.0625,workclass,0.1695376849671411,0.00012627801886033865
30,0.125,age,0.00031953165139942004,4.9627189364714404e-05
31,0.125,capital-gain,1.6892406120095389e-06,4.779817186718326e-07
32,0.125,capital-loss,3.211613607465891e-05,4.379095450112657e-06
33,0.125,education,0.00655269587853829,0.000626333761127973
34,0.125,education-num,0.00478728813572344,0.0010641581810133436
35,0.125,fnlwgt,4.522052520083637e-08,9.820632344612548e-09
36,0.125,hours-per-week,0.00103350299554461,9.65107924366566e-05
37,0.125,income,0.0,0.0
38,0.125,marital-status,0.01468736192896925,0.0011067241828732102
39,0.125,native-country,0.09622129957522077,0.00018493343869403664
40,0.125,occupation,0.1697926817943616,6.441411396064265e-05
41,0.125,race,0.010418805961298062,0.0010037267490684738
42,0.125,relationship,0.0032794817159282398,0.00040719190347798334
43,0.125,sex,0.0011600951235932401,0.0003194249272826525
44,0.125,workclass,0.17025228557284322,0.0002257953614358992
45,0.25,age,0.00044621488323516,8.384353077307663e-05
46,0.25,capital-gain,3.1836553919964624e-06,3.080961936594708e-07
47,0.25,capital-loss,6.249899078466775e-05,5.92000848996998e-06
48,0.25,education,0.01256892830988963,0.0005418988283135797
49,0.25,education-num,0.00897972998041369,0.0006227113478808939
50,0.25,fnlwgt,1.1199521780785665e-07,7.471963227172609e-08
51,0.25,hours-per-week,0.00204408020604301,0.0001226246495404706
52,0.25,income,0.0,0.0
53,0.25,marital-status,0.025822528831620402,0.001173057647460906
54,0.25,native-country,0.09913774368385717,0.00040672621646714753
55,0.25,occupation,0.1704100338097881,0.00013479188472677022
56,0.25,race,0.0201642633968451,0.0010560310395944575
57,0.25,relationship,0.0064102843442601,0.0005897651919445241
58,0.25,sex,0.00233958352238694,0.0003851735187493996
59,0.25,workclass,0.1719640961652142,0.0003557307883656354
60,0.5,age,0.0006254872910344299,8.333250559310676e-05
61,0.5,capital-gain,6.287021527375417e-06,3.064311788500433e-07
62,0.5,capital-loss,0.00012344987384916,6.423412746914301e-06
63,0.5,education,0.02341413816498823,0.001090362364944275
64,0.5,education-num,0.0156351484802863,0.0006381540895457327
65,0.5,fnlwgt,1.520466363671134e-07,8.453844546950337e-08
66,0.5,hours-per-week,0.00398179299734526,0.00017896989099820397
67,0.5,income,0.0,0.0
68,0.5,marital-status,0.04405184337078985,0.002086400679176625
69,0.5,native-country,0.10710876032776429,0.0006850556142563618
70,0.5,occupation,0.17202627146542565,0.00036762919297113886
71,0.5,race,0.03769689958834681,0.0010608827383831831
72,0.5,relationship,0.01271759118621947,0.0008509775991626743
73,0.5,sex,0.00466456364504859,0.00048142285776376275
74,0.5,workclass,0.1763378639097666,0.00047349827727902107
