gamma,k,fingerprint_length,n_recipients,sk,id,code,embedding_ratio,recipient_id,attribute,rel_delta_mean,rel_delta_std,hellinger_distance,kl_divergence,emd,ks,p_value
2,300,128,20,100,0,tardos,0.5,0,age,0.0005431323210850507,0.0012046837597318712,0.0019862539794979176,1.5788150813354198e-05,0.04087712293848414,0.0019348300113632422,0.9999999798554688
2,300,128,20,100,0,tardos,0.5,0,workclass,,,0.005433874269980102,0.00011773919447177132,12.424434139000647,,
2,300,128,20,100,0,tardos,0.5,0,fnlwgt,0.00018711180991543252,0.0007559320195637979,0.005598736383448337,0.00011431488849470524,514.1497189889683,0.002518350173520534,0.9999447107537522
2,300,128,20,100,0,tardos,0.5,0,education,,,0.0009685538476216058,3.78079252208311e-06,20.15460213138417,,
2,300,128,20,100,0,tardos,0.5,0,education-num,4.299622247477449e-05,0.00036770607728517515,0.0005140455913716208,1.0593950530182973e-06,0.0006449433371212778,0.0001228463499278274,1.0
2,300,128,20,100,0,tardos,0.5,0,marital-status,,,0.024301103314322125,0.0018445291349689814,8.427935259973587,,
2,300,128,20,100,0,tardos,0.5,0,occupation,,,0.004246731027084491,7.203374865119246e-05,11.519240809557447,,
2,300,128,20,100,0,tardos,0.5,0,relationship,,,0.007914271920819308,0.00024754950478336367,5.064095083074845,,
2,300,128,20,100,0,tardos,0.5,0,race,,,0.012193035062639511,0.0005878721114988641,7.1024845674272905,,
2,300,128,20,100,0,tardos,0.5,0,sex,,,0.001247005898721424,6.222741811764531e-06,0.6834556678234698,,
2,300,128,20,100,0,tardos,0.5,0,capital-gain,0.007805307929311597,0.29808329273065526,0.1411590681674056,0.07246935588286135,780.5229876232273,0.02463069316052946,5.177829931136603e-09
2,300,128,20,100,0,tardos,0.5,0,capital-loss,0.00665902797007772,0.12864826063327395,0.0730709425234972,0.019769310520238625,29.006725837658554,0.016215718190473183,0.0003783526507781612
2,300,128,20,100,0,tardos,0.5,0,hours-per-week,0.00028204519116082927,0.012314943987568213,0.009775930509145792,0.00038156770193548866,0.16301710635422684,0.00789287798286295,0.26112268949435047
2,300,128,20,100,0,tardos,0.5,0,native-country,,,0.016997309084798806,0.0011253992050274987,77.79902337151808,,
2,300,128,20,100,0,tardos,0.5,0,income,,,0.0074444767780253275,0.00022076489018819402,1.0367617702159024,,
2,300,128,20,100,1,tardos,0.5,1,age,0.0005915135890360019,0.0019399061721368442,0.00228191503844329,2.0856376426000134e-05,0.04729584472221411,0.002180522711218935,0.9999987563214633
