gamma,k,fingerprint_length,n_recipients,sk,id,code,embedding_ratio,experiment_no,attack_strength,detection_confidence,accuracy,hellinger_distance,kl_divergence,marital-status_relationship,marital-status_sex,relationship_sex,income_relationship,education_education-num,age_marital-status,education-num_occupation,age_relationship
2,300,128,20,100,0,tardos,0.5,0,0.3,1.0,0.7,0.19152099371383377,0.1646572105815098,0.2796999020239583,0.19352483438982804,0.34524101716555977,0.5112120938118503,0.7816534008515323,0.6433777298415446,0.6787645794923822,0.8003556104449779
2,300,128,20,100,0,tardos,0.5,1,0.3,1.0,0.7,0.1912082442449964,0.16462666645306193,0.2812761103715359,0.1778957187263566,0.3250443777881877,0.5267407552608404,0.7895523738023864,0.6526313515233457,0.6800895261165291,0.800376043425714
2,300,128,20,100,0,tardos,0.5,2,0.3,1.0,0.7,0.19160057086007845,0.16493528727902715,0.2823961143566206,0.1958332635331385,0.32651579678152903,0.5046650998525047,0.7822854607805627,0.6541146746769748,0.6995237288804481,0.8135865955140229
2,300,128,20,100,0,tardos,0.5,0,0.35,1.0,0.65,0.21257603250717258,0.20016653610551016,0.33105422801905154,0.2251241919335501,0.3882067992290462,0.552963127100837,0.8248575995211791,0.7244859090405906,0.7498896940888448,0.870610991292326
2,300,128,20,100,0,tardos,0.5,1,0.35,1.0,0.65,0.21224527218499745,0.1996276510543615,0.32442668224982113,0.22660812050529033,0.3781963494466684,0.5767224714014013,0.8279259803845701,0.7323623767301513,0.7439011133251179,0.8726326478034235
2,300,128,20,100,0,tardos,0.5,2,0.35,1.0,0.65,0.21265863476475702,0.20032216716026774,0.3251601332767754,0.2548325911622979,0.3794954332392456,0.5712028908826242,0.8314072144605718,0.725389923533179,0.7356636768718771,0.8611162403122563
2,300,128,20,100,0,tardos,0.5,0,0.4,1.0,0.6,0.23304181236464264,0.23680214037458422,0.3725926343168902,0.2879555259339992,0.42790560281924117,0.612876980145293,0.8692011691766198,0.7887535971457905,0.7905543840541189,0.9022402636630615
2,300,128,20,100,0,tardos,0.5,1,0.4,1.0,0.6,0.23302849303235337,0.23701481655245987,0.37738739509659275,0.2821231405869611,0.41590525818135476,0.6172644226803674,0.8723187628690419,0.7897228927719099,0.7796560930862572,0.9012476921726075
2,300,128,20,100,0,tardos,0.5,2,0.4,1.0,0.6,0.23248897485907133,0.2361446340845233,0.3773853712804808,0.30203369793765217,0.4295396755151803,0.6091201974904097,0.8693116646538788,0.7907881466407124,0.7739250844364473,0.898954249726596
2,300,128,20,100,0,tardos,0.5,0,0.45,0.9921875,0.55,0.2520323254884009,0.27530073514157677,0.4329602621728065,0.34443101519634906,0.4866978867031955,0.6720618640185614,0.8956962624317459,0.8264743327987194,0.8236168840782729,0.9382484651808146
2,300,128,20,100,0,tardos,0.5,1,0.45,1.0,0.55,0.2524791040873147,0.27661246411695856,0.4387160626420837,0.3544339189412117,0.4852874659672519,0.6690229408801128,0.894995861023569,0.845007769206081,0.8276847161057005,0.9380233855008806
2,300,128,20,100,0,tardos,0.5,2,0.45,0.9921875,0.55,0.25289951090608087,0.277177059686415,0.4267841538351047,0.35560843466906045,0.48673676933188775,0.6607657827451272,0.9003416119642377,0.8396585020025157,0.8130754161980087,0.938942679157719
2,300,128,20,100,0,tardos,0.5,0,0.5,0.9921875,0.5,0.27133591216558484,0.3178121293078879,0.48664513423445943,0.40665555337346826,0.5371162733934943,0.7282609305724576,0.9226826557818685,0.8848768410159582,0.8608615908748871,0.9599013750617923
