gamma,k,fingerprint_length,n_recipients,sk,n_colluders,strategy,threshold,embedding_ratio,colluders,accusation_scores,total_accusations,hit_abs,hit_rate,false_accusation_abs,false_accusation_rate,recall
32,300,64,20,100,2,avg,1,0.03125,[0 5],"[32.57791749 20.10126824 22.18070978 19.40812106 18.71497388 32.57791749
 21.4875626  18.02182669 20.10126824 22.18070978 17.32867951 20.79441542
 20.79441542 20.79441542 20.10126824 20.79441542 22.87385696 22.18070978
 22.18070978 23.56700414]",2,2,1.0,0,0.0,1.0
32,300,64,20,100,2,avg,1,0.03125,[7 8],"[20.10126824 22.87385696 23.56700414 12.47664925 22.18070978 20.79441542
 18.71497388 31.19162313 33.96421185 25.64644568 21.4875626  20.10126824
 18.71497388 19.40812106 20.10126824 23.56700414 22.87385696 15.24923797
 18.71497388 19.40812106]",2,2,1.0,0,0.0,1.0
32,300,64,20,100,2,avg,1,0.03125,[ 4 17],"[20.10126824 21.4875626  16.63553233 16.63553233 31.19162313 20.10126824
 19.40812106 21.4875626  23.56700414 22.18070978 20.79441542 19.40812106
 21.4875626  19.40812106 18.02182669 23.56700414 19.40812106 28.4190344
 18.02182669 19.40812106]",2,2,1.0,0,0.0,1.0
32,300,64,20,100,2,avg,1,0.03125,[ 2 19],"[22.87385696 25.64644568 33.96421185 16.63553233 21.4875626  23.56700414
 20.10126824 20.79441542 22.87385696 21.4875626  19.40812106 21.4875626
 19.40812106 22.87385696 22.87385696 25.64644568 26.33959286 20.10126824
 19.40812106 33.96421185]",2,2,1.0,0,0.0,1.0
32,300,64,20,100,2,avg,1,0.03125,[6 3],"[23.56700414 22.18070978 20.79441542 33.27106467 22.87385696 25.64644568
 37.42994775 17.32867951 19.40812106 22.87385696 19.40812106 20.79441542
 22.18070978 19.40812106 18.02182669 25.64644568 20.10126824 26.33959286
 18.71497388 23.56700414]",2,2,1.0,0,0.0,1.0
32,300,64,20,100,2,avg,1,0.03125,[13  7],"[18.02182669 20.79441542 20.79441542 13.16979643 19.40812106 22.87385696
 20.10126824 31.88477031 20.79441542 20.10126824 22.18070978 16.63553233
 18.71497388 32.57791749 20.10126824 22.87385696 20.79441542 19.40812106
 18.71497388 21.4875626 ]",2,2,1.0,0,0.0,1.0
32,300,64,20,100,2,avg,1,0.03125,[ 5 11],"[22.87385696 21.4875626  22.18070978 17.32867951 22.87385696 31.88477031
 19.40812106 15.94238515 19.40812106 22.18070978 22.18070978 30.49847594
 21.4875626  19.40812106 21.4875626  22.18070978 20.79441542 20.10126824
 20.10126824 23.56700414]",2,2,1.0,0,0.0,1.0
32,300,64,20,100,2,avg,1,0.03125,[19  6],"[28.4190344  23.56700414 23.56700414 19.40812106 18.02182669 25.64644568
 31.19162313 20.79441542 20.10126824 22.87385696 20.79441542 18.71497388
 19.40812106 21.4875626  20.10126824 28.4190344  24.26015132 26.33959286
 19.40812106 37.42994775]",4,2,0.5,2,0.5,1.0
32,300,64,20,100,2,avg,1,0.03125,[8 1],"[20.10126824 33.27106467 27.03274004 13.16979643 21.4875626  16.63553233
 20.79441542 21.4875626  31.88477031 22.87385696 22.87385696 19.40812106
 18.02182669 22.18070978 19.40812106 28.4190344  24.26015132 16.63553233
 20.79441542 20.10126824]",4,2,0.5,2,0.5,1.0
32,300,64,20,100,2,avg,1,0.03125,[6 7],"[22.18070978 24.26015132 22.87385696 14.55609079 21.4875626  20.10126824
 29.80532876 33.96421185 24.9532985  22.87385696 23.56700414 18.02182669
 16.63553233 23.56700414 17.32867951 24.26015132 19.40812106 18.02182669
 18.71497388 22.18070978]",2,2,1.0,0,0.0,1.0
