gamma,k,fingerprint_length,n_recipients,sk,id,code,embedding_ratio,experiment_no,attack_strength,detection_confidence,accuracy,hellinger_distance,hellinger_distance_remaining,marital-status_relationship,marital-status_sex,relationship_sex,income_relationship,education_education-num,age_marital-status,education-num_occupation,age_relationship
4,300,128,20,101,0,tardos,0.25,0,0.1,1.0,0.875,0.14379296272471512,0.012068803143902062,0.011068348090663606,0.0014696252413862409,0.01026436076302605,0.02758566486468935,0.0008565223424543373,0.026595339393483405,,0.042908040796330225
4,300,128,20,101,0,tardos,0.25,1,0.1,1.0,0.875,0.1440519315159086,0.012367613287586813,0.011068348090663606,0.0014696252413862409,0.01026436076302605,0.02758566486468935,0.0008565223424543373,,0.004781293059778122,
4,300,128,20,101,0,tardos,0.25,2,0.1,1.0,0.875,0.14356305763214133,0.01180352803708615,0.011068348090663606,0.0014696252413862409,0.01026436076302605,0.02758566486468935,0.0008565223424543373,0.026595339393483405,,0.042908040796330225
4,300,128,20,101,0,tardos,0.25,0,0.2,1.0,0.8125,0.2057107474811542,0.007138434351442772,0.011068348090663606,0.0014696252413862409,0.01026436076302605,0.02758566486468935,0.0008565223424543373,0.026595339393483405,,0.042908040796330225
4,300,128,20,101,0,tardos,0.25,1,0.2,1.0,0.8125,0.2104120157888625,0.013015019736078146,,0.0014696252413862409,,,0.0008565223424543373,,0.004781293059778122,
4,300,128,20,101,0,tardos,0.25,2,0.2,1.0,0.8125,0.21002300858077738,0.012528760725971705,0.011068348090663606,0.0014696252413862409,0.01026436076302605,0.02758566486468935,0.0008565223424543373,0.026595339393483405,,0.042908040796330225
4,300,128,20,101,0,tardos,0.25,0,0.3,1.0,0.75,0.2720708317541082,0.0073693160283293145,,0.0014696252413862409,,,0.0008565223424543373,0.026595339393483405,,
4,300,128,20,101,0,tardos,0.25,1,0.3,1.0,0.75,0.2770771439033942,0.014196105322810331,,,,,0.0008565223424543373,,0.004781293059778122,
4,300,128,20,101,0,tardos,0.25,2,0.3,1.0,0.75,0.2766881366953091,0.013665640948148759,0.011068348090663606,,,0.02758566486468935,0.0008565223424543373,0.026595339393483405,,0.042908040796330225
4,300,128,20,101,0,tardos,0.25,0,0.4,1.0,0.625,0.4047272267181044,0.00787871119684075,,0.0014696252413862409,,,,0.026595339393483405,,
4,300,128,20,101,0,tardos,0.25,1,0.4,1.0,0.625,0.40973353886739056,0.01622256477898422,,,,,,,0.004781293059778122,
4,300,128,20,101,0,tardos,0.25,2,0.4,1.0,0.625,0.40971043810144353,0.016184063502405886,0.011068348090663606,,,0.02758566486468935,,0.026595339393483405,,0.042908040796330225
4,300,128,20,101,0,tardos,0.25,0,0.5,1.0,0.5,0.537829449494316,0.009634534630677294,,,,,,0.026595339393483405,,
4,300,128,20,101,0,tardos,0.25,1,0.5,1.0,0.5,0.5383050526620448,0.010653684275810286,,,,,,,,
4,300,128,20,101,0,tardos,0.25,2,0.5,1.0,0.5,0.5425076170360774,0.01965917936302294,,,,,,0.026595339393483405,,
4,300,128,20,101,0,tardos,0.25,0,0.6,1.0,0.4375,0.6044047869994204,0.01101196749855086,,,,,,,,
4,300,128,20,101,0,tardos,0.25,1,0.6,1.0,0.4375,0.6040466867297268,0.010116716824316927,,,,,,,,
4,300,128,20,101,0,tardos,0.25,2,0.6,0.9921875,0.4375,0.6088181175855456,0.022045293963863833,,,,,,0.026595339393483405,,
4,300,128,20,101,0,tardos,0.25,0,0.7,1.0,0.375,0.6707152875488885,0.012145862646665517,,,,,,,,
4,300,128,20,101,0,tardos,0.25,1,0.7,1.0,0.375,0.6680712167621401,0.004213650286420206,,,,,,,,
4,300,128,20,101,0,tardos,0.25,2,0.7,0.9296875,0.375,0.6728426476179588,0.018527942853876496,,,,,,0.026595339393483405,,
4,300,128,20,101,0,tardos,0.25,0,0.8,1.0,0.25,0.8031106506547857,0.015553253273928237,,,,,,,,
4,300,128,20,101,0,tardos,0.25,1,0.8,1.0,0.25,0.800913179787985,0.004565898939924923,,,,,,,,
4,300,128,20,101,0,tardos,0.25,2,0.8,0.6484375,0.25,0.8056868521376638,0.028434260688318804,,,,,,,,
