gamma,k,fingerprint_length,n_recipients,sk,id,code,embedding_ratio,experiment_no,attack_strength,detection_confidence,accuracy,hellinger_distance,kl_divergence,marital-status_relationship,marital-status_sex,relationship_sex,income_relationship,education_education-num,age_marital-status,education-num_occupation,age_relationship
16,300,128,20,100,0,tardos,0.0625,0,0.05,0.96875,0.95,0.049269232196528616,0.013702269251440215,0.10132136233260985,0.13397833171192414,0.14524077701058252,0.1774123717883203,0.32349407137191827,0.2693907180651834,0.27722292992778486,0.2667976496209167
16,300,128,20,100,0,tardos,0.0625,1,0.05,0.9765625,0.95,0.04922673654547801,0.013841541303513878,0.09957227494407127,0.12411578339075234,0.1376094224412495,0.18366870925872686,0.3217947053926715,0.27934534143191836,0.26373597667794224,0.2852693281265738
16,300,128,20,100,0,tardos,0.0625,2,0.05,0.9765625,0.95,0.04883294143975027,0.013093430595297462,0.10308549394406778,0.1396920331694885,0.16047465731039304,0.18813867346312205,0.320325331405454,0.2825540944042352,0.2573969691410853,0.283667839114449
16,300,128,20,100,0,tardos,0.0625,0,0.1,0.875,0.9,0.08446899952603194,0.036303400832509686,0.192722120738651,0.25178415744129395,0.2926269823245377,0.3292477975748442,0.528362014934589,0.4841851098846695,0.43971932572146927,0.4877447993859806
16,300,128,20,100,0,tardos,0.0625,1,0.1,0.8515625,0.9,0.08537580943056915,0.036723450402274746,0.19841342654948646,0.25225882187588344,0.2918958535965734,0.3383619562042624,0.5257082790861194,0.4876081273012448,0.443374824098063,0.5014231845691254
16,300,128,20,100,0,tardos,0.0625,2,0.1,0.8359375,0.9,0.0858112898112814,0.03713511773259201,0.19648146387252144,0.2563369106115742,0.28454467378349435,0.3429007890444562,0.5343435485622322,0.4875781637542905,0.46724153682841446,0.495448431048377
16,300,128,20,100,0,tardos,0.0625,0,0.15,0.640625,0.85,0.11359935616421554,0.062029242437982454,0.28864032978391896,0.4051608477004524,0.4231779259174202,0.46362293498515195,0.6831346824231485,0.6488327137278187,0.5964414750249732,0.6389733352520578
16,300,128,20,100,0,tardos,0.0625,1,0.15,0.7265625,0.85,0.11467018672855415,0.06349247843095475,0.28686488730358334,0.41148231833729376,0.4131151132229789,0.4736389650310706,0.6839668573922023,0.6414176790349587,0.611190512665408,0.6452166398132403
16,300,128,20,100,0,tardos,0.0625,2,0.15,0.6953125,0.85,0.11343923301713736,0.06094871284595514,0.28484507988912683,0.4329779060436874,0.42965160970123,0.4562787446236231,0.6926557667790206,0.6557709278262365,0.6131966957295033,0.6548419814235279
16,300,128,20,100,0,tardos,0.0625,0,0.2,0.3984375,0.8,0.13848885888959958,0.08903743074343441,0.3815883258822555,0.5711468560327022,0.5747195951580195,0.5601113686138961,0.7939861507773618,0.7452902182993759,0.7107789714087033,0.7369484517428931
16,300,128,20,100,0,tardos,0.0625,1,0.2,0.5,0.8,0.13922016110217386,0.09011173148866483,0.38405951238589814,0.5602697863903563,0.5741136091825267,0.5701419360794032,0.8033295730309609,0.7538589280478757,0.7430045510183162,0.7603154045013437
16,300,128,20,100,0,tardos,0.0625,2,0.2,0.4453125,0.8,0.13810721800161888,0.08767546245148024,0.3881298965742005,0.5777473237430519,0.573181451578204,0.5879778369096149,0.7928856777159579,0.7459202042389185,0.7598769872971516,0.7549939231238514
16,300,128,20,100,0,tardos,0.0625,0,0.25,0.390625,0.75,0.16185566110280017,0.11818696475576096,0.4612718702421608,0.6737541337847658,0.6775131598038494,0.6594726378158454,0.8599610996297832,0.8193438512859733,0.8013008449239611,0.8095871231538423
16,300,128,20,100,0,tardos,0.0625,1,0.25,0.484375,0.75,0.16231880216640485,0.1186533803128866,0.45615700441350443,0.6712910966932992,0.6735306531494633,0.6642648462751489,0.866487170246059,0.8269458991326277,0.8152122959091002,0.8287789215016036
16,300,128,20,100,0,tardos,0.0625,2,0.25,0.4140625,0.75,0.16181664101842816,0.11690566844340379,0.4706047025929979,0.6759533770407846,0.6772770126978412,0.6929543133284854,0.8610057474511844,0.8184472969345028,0.8263064405133533,0.8264612325162606
16,300,128,20,101,0,tardos,0.0625,0,0.05,0.984375,0.95,0.04882637148139793,0.013078162733096428,0.10272786696385028,0.1396034580865069,0.16103214173741312,0.18969091942176383,0.320325331405454,0.285854909821152,0.25527761076226996,0.28650173838607207
16,300,128,20,101,0,tardos,0.0625,1,0.05,0.984375,0.95,0.049498636931965725,0.013737213318981836,0.1016461935195946,0.12992093731088805,0.14796102216220955,0.1845513668316884,0.31686909652100304,0.26807694154532813,0.2500408602225842,0.28723909126081987
16,300,128,20,101,0,tardos,0.0625,2,0.05,0.9765625,0.95,0.04956442830932512,0.013806547667342304,0.10134527482222686,0.13024909904607546,0.13819246381067418,0.2022884201880845,0.32046191753086356,0.28182689603366157,0.2683476356014493,0.2854385619910158
16,300,128,20,101,0,tardos,0.0625,0,0.1,0.875,0.9,0.08594958647747146,0.03723343534004756,0.19592904248596707,0.2555575431925503,0.28479969720677145,0.3451180205692275,0.5343435485622322,0.48983327956089856,0.4662896837581954,0.4978609358322574
16,300,128,20,101,0,tardos,0.0625,1,0.1,0.8828125,0.9,0.08512342028952329,0.03651543307388267,0.19012873145195314,0.24579363318630285,0.2807454726731786,0.34822252237146917,0.5225071574644288,0.49773984959755846,0.4397226265339037,0.47867991498810014
16,300,128,20,101,0,tardos,0.0625,2,0.1,0.8359375,0.9,0.08511945342007662,0.03681196266724793,0.20295278822663512,0.25032342569094335,0.295374079178826,0.3283782995495854,0.5272584865194776,0.5025431570821655,0.44205614141992944,0.5007123312786681
16,300,128,20,101,0,tardos,0.0625,0,0.15,0.734375,0.85,0.11359359872537843,0.06110352357573976,0.284226814480468,0.4322639986513199,0.4299530045421711,0.45901186063578153,0.6926557667790206,0.657017788745011,0.6126004330111172,0.6559505097409737
16,300,128,20,101,0,tardos,0.0625,1,0.15,0.6796875,0.85,0.11415360873137217,0.06239999699904828,0.28800994004160424,0.39976546004346225,0.41020591074446344,0.48101248777442845,0.6824834049033451,0.652034472298714,0.5816164408730662,0.6593681979874949
16,300,128,20,101,0,tardos,0.0625,2,0.15,0.6796875,0.85,0.11448196723641388,0.062256245027740166,0.2924808636118074,0.3962271201220534,0.42711200046847364,0.4730633800715465,0.6928166354989019,0.6501395718352125,0.6016259563565244,0.6728903051408975
16,300,128,20,101,0,tardos,0.0625,0,0.2,0.46875,0.8,0.13810721800161888,0.08767546245148024,0.3881298965742005,0.5777473237430519,0.573181451578204,0.5879778369096149,0.7928856777159579,0.7459202042389185,0.7598769872971516,0.7549939231238514
16,300,128,20,101,0,tardos,0.0625,1,0.2,0.3984375,0.8,0.1381929188678145,0.08863512707915325,0.3755161689451044,0.5637871312253551,0.556264646340501,0.5718051732677566,0.7962800170587762,0.7480845379123461,0.7383809819364386,0.7356122805934867
16,300,128,20,101,0,tardos,0.0625,2,0.2,0.4140625,0.8,0.1380635761671684,0.0881181308805111,0.38241844650919155,0.5767136033983082,0.5856917735702852,0.586892469608508,0.7983977641755798,0.7440585127142999,0.7418303920008773,0.7465602967510329
16,300,128,20,101,0,tardos,0.0625,0,0.25,0.4375,0.75,0.16181664101842816,0.11690566844340379,0.4706047025929979,0.6759533770407846,0.6772770126978412,0.6929543133284854,0.8610057474511844,0.8184472969345028,0.8263064405133533,0.8264612325162606
