gamma,k,fingerprint_length,n_recipients,sk,id,code,embedding_ratio,experiment_no,attack_strength,detection_confidence,accuracy,hellinger_distance,kl_divergence,marital-status_relationship,marital-status_sex,relationship_sex,income_relationship,education_education-num,age_marital-status,education-num_occupation,age_relationship
8,300,128,20,100,0,tardos,0.125,0,0.6,0.9921875,0.4,0.05633759552904561,0.021716411131663216,0.00861532918994649,0.02535551525994578,0.009894885638934646,0.016778816454130468,0.00015351564603748857,0.07038222608636512,0.015366559428745501,0.08946474570092641
8,300,128,20,100,0,tardos,0.125,1,0.6,1.0,0.4,0.05501564998938667,0.020885328244796417,0.005470140377527113,0.03308254988875537,0.005668534630106001,0.028177936672598485,0.00015529708807559533,0.08697219732851807,0.017979361341417522,0.07223606484007877
8,300,128,20,100,0,tardos,0.125,2,0.6,1.0,0.4,0.05560319051680506,0.020908732716812484,0.011129974072610741,0.019246487547239267,0.012102216850826455,0.022274747477195773,0.00015628694167101864,0.06153669068747281,0.006368749792694815,0.09884236194161305
8,300,128,20,100,0,tardos,0.125,0,0.7,0.9921875,0.30000000000000004,0.05318574702234559,0.023547338719640046,0.011177508299623528,0.020020258788638036,0.0030995504748018306,0.03295043926322743,0.00010402985963508698,0.07643165182038322,0.007257669088497131,0.08078196143825138
8,300,128,20,100,0,tardos,0.125,1,0.7,0.9921875,0.30000000000000004,0.05210109409748214,0.022741745215279455,0.002941205802705762,0.015345575343696542,0.003244047879203629,0.038372226194050736,0.0001052276753061815,0.08916806552565851,0.002973960296471416,0.06796261025738486
8,300,128,20,100,0,tardos,0.125,2,0.7,1.0,0.30000000000000004,0.052722962444670944,0.02255902601617821,0.013110834285003793,0.007969280734385076,0.002253877306049654,0.03792658950891887,0.00010587400554584346,0.07530776644276221,0.02785223542869548,0.10002882074334846
8,300,128,20,100,0,tardos,0.125,0,0.8,0.9765625,0.19999999999999996,0.03261797488022333,0.01142617347852686,0.00793804684708243,0.0022917917672912493,0.0038141134396945187,0.027031910399540258,0.00012383241938195943,0.017149708028707928,0.022834283739122812,0.05674267353057042
8,300,128,20,100,0,tardos,0.125,1,0.8,1.0,0.19999999999999996,0.02922339875179666,0.007914228046423463,0.0019855957858032286,0.014820137048194845,0.00041015518649569827,0.02884674402394324,0.00012676402515987095,0.03956358712873869,0.013652824425205788,0.02178751542832055
8,300,128,20,100,0,tardos,0.125,2,0.8,0.96875,0.19999999999999996,0.029745565085866628,0.00845684119541187,0.011028571916337344,0.0010754451144996435,0.010861624877996967,0.023881201186922725,0.0002471333424238684,0.004228442213941633,0.01685757781251401,0.04158180508966094
8,300,128,20,100,0,tardos,0.125,0,0.9,0.9765625,0.09999999999999998,0.03261797488022333,0.01142617347852686,0.00793804684708243,0.0022917917672912493,0.0038141134396945187,0.027031910399540258,0.00012383241938195943,0.017149708028707928,0.022834283739122812,0.05674267353057042
8,300,128,20,100,0,tardos,0.125,1,0.9,1.0,0.09999999999999998,0.02922339875179666,0.007914228046423463,0.0019855957858032286,0.014820137048194845,0.00041015518649569827,0.02884674402394324,0.00012676402515987095,0.03956358712873869,0.013652824425205788,0.02178751542832055
8,300,128,20,100,0,tardos,0.125,2,0.9,0.96875,0.09999999999999998,0.029745565085866628,0.00845684119541187,0.011028571916337344,0.0010754451144996435,0.010861624877996967,0.023881201186922725,0.0002471333424238684,0.004228442213941633,0.01685757781251401,0.04158180508966094
8,300,128,20,101,0,tardos,0.125,0,0.6,0.9921875,0.4,0.055163325672970415,0.02041712451343597,0.006882610809133894,0.016709956625196153,0.01699110443529933,0.029895738905947104,7.427602510356738e-05,0.06697820863435813,0.006643063253618935,0.09586967381758996
