gamma,k,fingerprint_length,n_recipients,sk,n_colluders,strategy,threshold,embedding_ratio,colluders,accusation_scores,total_accusations,hit_abs,hit_rate,false_accusation_abs,false_accusation_rate,recall
8,300,128,20,100,2,random_flip,1,0.125,[1 6],"[64.46268779 72.08730678 66.54212933 59.61065753 61.69009907 61.69009907
 76.93933704 65.15583497 63.07639343 67.92842369 59.61065753 67.23527651
 61.69009907 58.91751035 61.69009907 62.38324625 62.38324625 63.07639343
 60.30380471 58.91751035]",2,2,1.0,0,0.0,1.0
8,300,128,20,100,2,random_flip,1,0.125,[11  4],"[68.62157088 63.76954061 67.23527651 63.76954061 76.93933704 64.46268779
 67.92842369 70.70101242 68.62157088 63.76954061 60.99695189 79.01877858
 63.76954061 65.84898215 63.07639343 65.84898215 64.46268779 72.08730678
 61.69009907 63.07639343]",3,2,0.6666666666666666,1,0.33333333333333337,1.0
8,300,128,20,100,2,random_flip,1,0.125,[8 2],"[67.23527651 70.00786524 77.63248422 67.23527651 66.54212933 66.54212933
 69.31471806 70.70101242 78.3256314  66.54212933 67.92842369 67.92842369
 67.23527651 65.84898215 67.92842369 66.54212933 65.15583497 70.00786524
 61.69009907 65.15583497]",2,2,1.0,0,0.0,1.0
8,300,128,20,100,2,random_flip,1,0.125,[18 15],"[65.84898215 63.07639343 62.38324625 68.62157088 66.54212933 60.99695189
 63.76954061 65.15583497 63.07639343 60.99695189 62.38324625 61.69009907
 61.69009907 56.83806881 66.54212933 75.55304268 63.76954061 63.07639343
 74.16674832 64.46268779]",2,2,1.0,0,0.0,1.0
8,300,128,20,100,2,random_flip,1,0.125,[11  8],"[63.07639343 64.46268779 63.76954061 59.61065753 65.84898215 63.76954061
 64.46268779 67.23527651 74.8598955  62.38324625 61.69009907 79.71192576
 64.46268779 65.15583497 60.99695189 61.69009907 60.30380471 66.54212933
 59.61065753 62.38324625]",2,2,1.0,0,0.0,1.0
8,300,128,20,100,2,random_flip,1,0.125,[15 13],"[67.92842369 64.46268779 62.38324625 61.69009907 66.54212933 64.46268779
 58.91751035 65.84898215 64.46268779 59.61065753 60.99695189 63.76954061
 60.99695189 73.47360114 60.99695189 74.8598955  60.99695189 64.46268779
 51.98603854 62.38324625]",2,2,1.0,0,0.0,1.0
8,300,128,20,100,2,random_flip,1,0.125,[ 6 14],"[62.38324625 61.69009907 65.15583497 63.07639343 63.07639343 60.99695189
 79.01877858 67.92842369 64.46268779 64.46268779 59.61065753 63.76954061
 63.07639343 55.45177444 70.70101242 63.07639343 64.46268779 62.38324625
 60.99695189 58.91751035]",2,2,1.0,0,0.0,1.0
8,300,128,20,100,2,random_flip,1,0.125,[ 1 15],"[67.92842369 75.55304268 66.54212933 63.07639343 67.92842369 63.76954061
 64.46268779 67.23527651 67.23527651 63.07639343 60.99695189 63.07639343
 63.07639343 65.15583497 61.69009907 74.8598955  62.38324625 65.84898215
 58.91751035 61.69009907]",2,2,1.0,0,0.0,1.0
8,300,128,20,100,2,random_flip,1,0.125,[5 1],"[66.54212933 73.47360114 67.92842369 63.76954061 65.15583497 76.93933704
 63.76954061 65.84898215 65.84898215 63.07639343 68.62157088 66.54212933
 65.15583497 65.84898215 61.69009907 64.46268779 64.46268779 65.84898215
 56.14492163 63.76954061]",2,2,1.0,0,0.0,1.0
8,300,128,20,100,2,random_flip,1,0.125,[19  2],"[63.76954061 65.15583497 74.16674832 62.38324625 63.07639343 63.07639343
 62.38324625 64.46268779 63.76954061 64.46268779 64.46268779 66.54212933
 60.99695189 63.07639343 60.30380471 61.69009907 58.91751035 65.15583497
 62.38324625 78.3256314 ]",2,2,1.0,0,0.0,1.0
