gamma,k,fingerprint_length,n_recipients,sk,id,code,embedding_ratio,experiment_no,attack_strength,detection_confidence,accuracy,hellinger_distance,kl_divergence,marital-status_relationship,marital-status_sex,relationship_sex,income_relationship,education_education-num,age_marital-status,education-num_occupation,age_relationship
8,300,128,20,101,0,tardos,0.125,0,0.5,0.734375,0.5,0.26362812167493405,0.2956489354857405,0.7892338101232365,0.9674314591997457,0.993316158640654,0.9723881300108697,0.9818573115317984,0.97532223679716,0.9745820188432832,0.9773788176517818
8,300,128,20,101,0,tardos,0.125,1,0.5,0.71875,0.5,0.2639497686785336,0.29738377760931833,0.7816663408145811,0.9651795732927478,0.9718463967099247,0.9585220266495842,0.9832488501428394,0.9758819416767551,0.9708915307252415,0.9734021842570004
8,300,128,20,101,0,tardos,0.125,2,0.5,0.71875,0.5,0.2643614456505526,0.2980039358082072,0.7952184131521309,0.9681780842528481,0.9788052529042539,0.9796442304370807,0.9822374580239863,0.9717770021686113,0.9743777183591477,0.9769075700078649
8,300,128,20,101,0,tardos,0.125,0,0.6,0.6484375,0.4,0.30068411865410005,0.386892303249004,0.879471213744446,0.9098706320819411,0.9454695840840238,0.9323095962722324,0.9930324190507346,0.9916465040345582,0.9893105663554865,0.9928073309231531
8,300,128,20,101,0,tardos,0.125,1,0.6,0.578125,0.4,0.3011118576809007,0.3886586753588822,0.8722276986690709,0.9419004217980197,0.9532396768519117,0.9472223870163916,0.9937838273595719,0.990751211218347,0.9889128329316095,0.9918631400112595
8,300,128,20,101,0,tardos,0.125,2,0.6,0.625,0.4,0.3012493052368155,0.38872507221309843,0.8831820480674001,0.9179636646952194,0.9267396517529635,0.9359162971317296,0.993689920756308,0.989976822839445,0.9910909264698169,0.9937120418921587
8,300,128,20,101,0,tardos,0.125,0,0.7,0.5234375,0.30000000000000004,0.3374432087128714,0.495903147372137,0.9500984025266292,0.8940287262731479,0.9326355300319578,0.9188189361697993,0.9981886137078594,0.9971771469690136,0.9967804694822265,0.99865937449925
8,300,128,20,101,0,tardos,0.125,1,0.7,0.6015625,0.30000000000000004,0.337995991668368,0.4978528608892365,0.9383498993268844,0.9240767611496519,0.9457374510194795,0.9209098894977634,0.998269734745823,0.9980771520231636,0.9965163730431157,0.9981697627398343
8,300,128,20,101,0,tardos,0.125,2,0.7,0.578125,0.30000000000000004,0.33811063560973936,0.4983831640963871,0.952676295264471,0.8927630095366973,0.917769676463913,0.941443939085353,0.9982043294304433,0.9959663930629471,0.9977563107922566,0.9986416349031253
8,300,128,20,101,0,tardos,0.125,0,0.8,0.453125,0.19999999999999996,0.3755529560340962,0.635821473810596,0.9710018736519863,0.9180564703171004,0.9545045983153081,0.9587618520742438,0.9991501935758801,0.9990766555815666,0.9986908076504514,0.9997173684640788
8,300,128,20,101,0,tardos,0.125,1,0.8,0.5703125,0.19999999999999996,0.3763489776165541,0.638719035506004,0.9744319171043083,0.9470703533399957,0.9808350761811437,0.9633634522715663,0.9993640929556233,0.9997960734934037,0.9985817820793085,0.9990139233708256
8,300,128,20,101,0,tardos,0.125,2,0.8,0.5078125,0.19999999999999996,0.3762890329786366,0.6385568691956346,0.978259761223264,0.9429259214299138,0.9701706151731855,0.9736443821743817,0.9994004509675527,0.9982538579377873,0.9984830193786889,0.9997011747131335
8,300,128,20,101,0,tardos,0.125,0,0.9,0.484375,0.09999999999999998,0.416494261271362,0.8367205121171718,0.975128151099042,0.9479645402719061,0.9308633397539094,0.920885198708976,0.9995578448595656,0.9991880090008272,0.9986595716357746,0.9993354479020014
8,300,128,20,101,0,tardos,0.125,1,0.9,0.5390625,0.09999999999999998,0.4171649594625515,0.8390938228564834,0.9684843643473303,0.9295565936736095,0.9149179655556737,0.9197243321869932,0.9995813464136417,0.9997148082165294,0.9989118146527212,0.9993029952046482
8,300,128,20,101,0,tardos,0.125,2,0.9,0.4375,0.09999999999999998,0.4175062002216829,0.8401854515277721,0.9790841573733421,0.9352115092613833,0.9224631195460364,0.8803291714646263,0.9996563055188787,0.9991756307341662,0.9982971599440688,0.9992746445227166
8,300,128,20,102,0,tardos,0.125,0,0.5,0.640625,0.5,0.2642899845206788,0.2974905928004714,0.7940418421975782,0.9618346470371086,0.9773334018327824,0.9780803541037603,0.9831917987966188,0.9727866750300511,0.9746132985752178,0.9784607376736008
8,300,128,20,102,0,tardos,0.125,1,0.5,0.6796875,0.5,0.2636207158590785,0.2968869137171606,0.7850020547409013,0.956830747408201,0.9855843256417939,0.9619922685014516,0.981961170873183,0.971100665270855,0.9702464159199123,0.9826448853253814
8,300,128,20,102,0,tardos,0.125,2,0.5,0.671875,0.5,0.2636608703189538,0.29640772929088044,0.7850827578863927,0.9670809190273558,0.9803163448304432,0.9794169935210015,0.9833836198943635,0.9752704575770776,0.9719913996045071,0.9774720104414503
8,300,128,20,102,0,tardos,0.125,0,0.6,0.625,0.4,0.3014802789130581,0.3886510392112846,0.8805457296327157,0.9234598762096913,0.9289234133687231,0.9360819842607416,0.9940074702224136,0.9910278274872144,0.9919047136613138,0.9943521954855988
8,300,128,20,102,0,tardos,0.125,1,0.6,0.609375,0.4,0.30066358366425694,0.387861348876286,0.880358448629818,0.9381713755360738,0.9415588461317287,0.9500955695696409,0.9931330649627292,0.9893136937780209,0.9919646513173895,0.9930453213289289
8,300,128,20,102,0,tardos,0.125,2,0.6,0.640625,0.4,0.3006610967702776,0.3870612339254734,0.8794072919915087,0.9290961746763831,0.9486120984657049,0.9569130323466131,0.9951731650892691,0.9900941936953349,0.9885815832001174,0.9947669209661286
8,300,128,20,102,0,tardos,0.125,0,0.7,0.5546875,0.30000000000000004,0.33840613907289263,0.49861872975632054,0.9502913932285231,0.8981354664512243,0.9239409822663414,0.940606789839722,0.9979060729718046,0.9966814311460724,0.9980621563180895,0.9985122886331569
8,300,128,20,102,0,tardos,0.125,1,0.7,0.5625,0.30000000000000004,0.33793422517010624,0.4983692852311918,0.9455965610115533,0.922525133401387,0.9314932930884892,0.9389493909719036,0.9979443476379309,0.9962663683803928,0.9970795360235931,0.9986335061343017
