gamma,k,fingerprint_length,n_recipients,sk,id,code,embedding_ratio,experiment_no,attack_strength,detection_confidence,accuracy,hellinger_distance,hellinger_distance_remaining,marital-status_relationship,marital-status_sex,relationship_sex,income_relationship,education_education-num,age_marital-status,education-num_occupation,age_relationship
2,300,128,20,100,0,tardos,0.5,0,0.1,1.0,0.875,0.1539931020354173,0.023838194656250738,0.019917881818573745,0.0033469179439977246,0.018346929758572807,0.059507038432089675,,,0.01013212717136804,
2,300,128,20,100,0,tardos,0.5,1,0.1,1.0,0.875,0.14895643477099346,0.018026655504992446,0.019917881818573745,0.0033469179439977246,0.018346929758572807,0.059507038432089675,0.0010864170198700716,0.053190760107151534,0.01013212717136804,0.08705612143853206
2,300,128,20,100,0,tardos,0.5,2,0.1,1.0,0.875,0.1532552451214766,0.022986821294011448,0.019917881818573745,0.0033469179439977246,0.018346929758572807,0.059507038432089675,0.0010864170198700716,0.053190760107151534,,0.08705612143853206
2,300,128,20,100,0,tardos,0.5,0,0.2,1.0,0.8125,0.21578837253385083,0.019735465667313535,0.019917881818573745,0.0033469179439977246,0.018346929758572807,0.059507038432089675,,,0.01013212717136804,
2,300,128,20,100,0,tardos,0.5,1,0.2,1.0,0.8125,0.214003027883372,0.017503784854214974,,,0.018346929758572807,0.059507038432089675,0.0010864170198700716,,0.01013212717136804,0.08705612143853206
2,300,128,20,100,0,tardos,0.5,2,0.2,1.0,0.8125,0.21051130724364955,0.01313913405456194,0.019917881818573745,0.0033469179439977246,0.018346929758572807,0.059507038432089675,0.0010864170198700716,0.053190760107151534,,0.08705612143853206
2,300,128,20,100,0,tardos,0.5,0,0.3,1.0,0.75,0.28180331049990776,0.02064087795441969,0.019917881818573745,0.0033469179439977246,0.018346929758572807,0.059507038432089675,,,0.01013212717136804,
2,300,128,20,100,0,tardos,0.5,1,0.3,1.0,0.75,0.28038657914823306,0.018708971565772295,,,0.018346929758572807,0.059507038432089675,0.0010864170198700716,,,0.08705612143853206
2,300,128,20,100,0,tardos,0.5,2,0.3,1.0,0.75,0.2766503557822616,0.013614121521265815,,0.0033469179439977246,,,0.0010864170198700716,0.053190760107151534,,
2,300,128,20,100,0,tardos,0.5,0,0.4,1.0,0.625,0.4142670962891428,0.023778493815238107,0.019917881818573745,0.0033469179439977246,0.018346929758572807,,,,0.01013212717136804,
