gamma,k,fingerprint_length,n_recipients,sk,id,code,embedding_ratio,experiment_no,attack_strength,detection_confidence,accuracy,hellinger_distance,kl_divergence,marital-status_relationship,marital-status_sex,relationship_sex,income_relationship,education_education-num,age_marital-status,education-num_occupation,age_relationship
2,300,128,20,100,0,tardos,0.5,0,0.05,1.0,0.95,0.0573478725599833,0.0202656257210393,0.1128654389007237,0.1251694797631335,0.1614701983563292,0.2212002540973786,0.3195347557649287,0.3008779254146309,0.2604930189696128,0.3080299549081103
2,300,128,20,100,0,tardos,0.5,1,0.05,1.0,0.95,0.057537061104618,0.0206797891455869,0.1129406621327189,0.1190439317583843,0.1585952865494332,0.2128611808824092,0.3251287362509021,0.3042167120201424,0.2589932271008943,0.3229546938023405
2,300,128,20,100,0,tardos,0.5,2,0.05,1.0,0.95,0.0575778996824813,0.0200887411845941,0.110436449738829,0.1225496385703486,0.1740527604586892,0.2170978214154189,0.3222910809470385,0.2929883554345445,0.264837488156413,0.3074851966351971
2,300,128,20,100,0,tardos,0.5,0,0.1,1.0,0.9,0.0893503508625608,0.0409532864564022,0.2029625809732351,0.2529408329007965,0.2879061758321961,0.3517853409080107,0.5239579595139456,0.5069235301907751,0.4462405030468231,0.5015931151934703
2,300,128,20,100,0,tardos,0.5,1,0.1,1.0,0.9,0.0890939836305415,0.0408409870791781,0.2017617836187862,0.2591070305646321,0.2916386989439549,0.3579839425267125,0.5240116631313894,0.528026983314598,0.4541517306822628,0.5331294874713619
2,300,128,20,100,0,tardos,0.5,2,0.1,1.0,0.9,0.0891762715992544,0.0407729573770852,0.2074524423285687,0.2789877083879657,0.299191980636617,0.3449093716180261,0.5164748078968232,0.4940039288636361,0.4378551427192512,0.4946043456699986
2,300,128,20,100,0,tardos,0.5,0,0.15,0.921875,0.85,0.1153336025937608,0.0635609467802672,0.2868367692611834,0.4063208579318932,0.4133746425968767,0.4558801486481377,0.6779146591449607,0.6591854667417446,0.5994221224631404,0.6772327726569821
2,300,128,20,100,0,tardos,0.5,1,0.15,0.96875,0.85,0.116260339702051,0.0649597621632873,0.2934493553971202,0.4118098247504028,0.4284487368663151,0.4681757196617635,0.6825868062698462,0.6710780813530398,0.598967820163597,0.674675219675495
2,300,128,20,100,0,tardos,0.5,2,0.15,0.96875,0.85,0.115068110160893,0.0628995101443844,0.2884441337209232,0.4108145494784317,0.4198057711126979,0.4539995191308664,0.6898952772745007,0.6459517285342135,0.6075968322698531,0.656856660113545
2,300,128,20,100,0,tardos,0.5,0,0.2,0.4375,0.8,0.1382754949627588,0.0889117758032406,0.3886736626333129,0.5593344493716028,0.5771997595724233,0.5981304608110086,0.8039178833867078,0.7524443757983192,0.7329740866473006,0.7537410230475745
2,300,128,20,100,0,tardos,0.5,1,0.2,0.4140625,0.8,0.139519845136247,0.0904903911131625,0.3828907097437077,0.5574225322065703,0.5695178026900072,0.5754356364156177,0.7977299884726914,0.7585068621166667,0.7257718158453557,0.7554409468894775
2,300,128,20,100,0,tardos,0.5,2,0.2,0.4921875,0.8,0.1386213142626654,0.0885212830418669,0.3863061958253002,0.5701799743691196,0.566210742417414,0.5840990094675725,0.8022334610723972,0.7381019146428923,0.7371576009037588,0.7363300882932355
2,300,128,20,101,0,tardos,0.5,0,0.05,1.0,0.95,0.0572558128114582,0.0195930425452815,0.1109086042447844,0.1250164192916696,0.1740966413576983,0.2148738303775449,0.3222775960748352,0.2939636118417668,0.2616462443850848,0.3016904313751514
2,300,128,20,101,0,tardos,0.5,1,0.05,1.0,0.95,0.0570785580972756,0.0198743179480593,0.11591383072217,0.1331659620398097,0.1583197932538595,0.2148673083396629,0.3221330450859521,0.3103074268256538,0.2586700010399902,0.31490860860556
2,300,128,20,101,0,tardos,0.5,2,0.05,1.0,0.95,0.0575102476135983,0.019967609575441,0.1133135787236009,0.1256897925895273,0.1623298909013336,0.2106118185489274,0.3138099394349591,0.3092204695615299,0.2613704591917687,0.3124273030307092
2,300,128,20,101,0,tardos,0.5,0,0.1,1.0,0.9,0.0892519408585703,0.0407458968508596,0.2069366526944163,0.2810139692448786,0.3004180553201155,0.3454498071808406,0.5164259597362001,0.4944022926730369,0.4342818936490397,0.4922664276567659
2,300,128,20,101,0,tardos,0.5,1,0.1,1.0,0.9,0.0893607717224341,0.0411443275540957,0.1987480714404967,0.2510188612766378,0.2933448158322372,0.3627434778846164,0.5306273853060066,0.5043954601266439,0.4491013921777249,0.5313330022507452
2,300,128,20,101,0,tardos,0.5,2,0.1,1.0,0.9,0.0891341254402401,0.0410162973076236,0.2053482437983302,0.2577051902453594,0.2972461607514666,0.3499393062444738,0.5183496086836346,0.5161049204269831,0.4461355597117735,0.512841713777903
2,300,128,20,101,0,tardos,0.5,0,0.15,0.9453125,0.85,0.1150007240696331,0.062833192684439,0.2888349889795621,0.4132009199783454,0.4197511044301512,0.4560719534981545,0.6898610653034445,0.6473749478094908,0.6053018877083932,0.6552038100903246
2,300,128,20,101,0,tardos,0.5,1,0.15,0.984375,0.85,0.1160076146187602,0.0644050858605063,0.2934036532364034,0.4093692071791626,0.4281814537209529,0.4813885680007482,0.6757201843122229,0.6629955502259556,0.6186499164622535,0.6600700581275285
2,300,128,20,101,0,tardos,0.5,2,0.15,0.9609375,0.85,0.1151931261875538,0.063425734148971,0.2990701688597494,0.4148834200752416,0.4266669447637448,0.4823081252151658,0.6823559250247736,0.6538476608655898,0.5990796083899007,0.6599228684586758
2,300,128,20,101,0,tardos,0.5,0,0.2,0.4609375,0.8,0.1386213142626654,0.0885212830418669,0.3863061958253002,0.5701799743691196,0.566210742417414,0.5840990094675725,0.8022334610723972,0.7381019146428923,0.7371576009037588,0.7363300882932355
2,300,128,20,101,0,tardos,0.5,1,0.2,0.5,0.8,0.1383261348096374,0.0888077813006274,0.3773690161290239,0.5476411235683085,0.5590051779052794,0.5810398849444903,0.8033278570323082,0.7230958344339637,0.7430327323297301,0.7378755413192515
2,300,128,20,101,0,tardos,0.5,2,0.2,0.5234375,0.8,0.1379503554185696,0.0879820944502778,0.3792713766699037,0.5633768438732739,0.5900418818154584,0.5821497326718992,0.806365495700813,0.7348291247462692,0.7413304648567891,0.7405516374514773
2,300,128,20,102,0,tardos,0.5,0,0.05,1.0,0.95,0.057873648767202,0.0204699872673666,0.1144698959173628,0.122648776763106,0.1617287245051189,0.2185328921683738,0.3137763623087214,0.301901211611868,0.2626328847887472,0.3138796714056616
2,300,128,20,102,0,tardos,0.5,1,0.05,1.0,0.95,0.0582263785939685,0.0214355228870992,0.1160371168684462,0.1193051040923666,0.1580377748622282,0.2146208234745096,0.3230992392448317,0.2796989822134823,0.2751009625730993,0.2960684578427175
2,300,128,20,102,0,tardos,0.5,2,0.05,1.0,0.95,0.0578669186260814,0.0208583042528797,0.1148827225034098,0.1187712871629571,0.1630412658928808,0.2209483694761784,0.3204284124057888,0.2804563685400505,0.2611858025262343,0.3067742977801247
2,300,128,20,102,0,tardos,0.5,0,0.1,1.0,0.9,0.0891327464239924,0.0411448480764276,0.2054213119127264,0.2539772093753104,0.2948919172356283,0.355404994839163,0.5182898977001624,0.5105713397341396,0.4478084481598077,0.5110072069452009
2,300,128,20,102,0,tardos,0.5,1,0.1,1.0,0.9,0.0894197184353618,0.0412267136651797,0.2016527844036905,0.2598365988384265,0.3065042420302066,0.3500447403461291,0.5312246809539498,0.5017171468145745,0.4459734543963592,0.5039735556566897
2,300,128,20,102,0,tardos,0.5,2,0.1,1.0,0.9,0.0885782327727626,0.0401242914192563,0.2063304935303447,0.2687397420978529,0.3000790769237171,0.3523859237925484,0.5172115543008273,0.4988969358725064,0.4285442020915522,0.52808471311155
2,300,128,20,102,0,tardos,0.5,0,0.15,0.9375,0.85,0.1154634825146699,0.0638654456511437,0.2985069880143771,0.4123870611918148,0.426448468133326,0.4835511665968244,0.6823662053388234,0.6508352815596126,0.5997800663077406,0.6583975625244494
2,300,128,20,102,0,tardos,0.5,1,0.15,0.9375,0.85,0.1153309625670475,0.0636053852114675,0.29825169660489,0.3900516632177854,0.4294772216748561,0.4640073809377585,0.6857038073838859,0.6434208327569508,0.6176454478555198,0.6584565579197528
2,300,128,20,102,0,tardos,0.5,2,0.15,0.9453125,0.85,0.1161254711660529,0.0642799470597544,0.3001904467063322,0.4160220879140439,0.4308639575367674,0.4602301461106949,0.6770829270715889,0.6587429417558894,0.5996734618029343,0.6636399549011264
2,300,128,20,102,0,tardos,0.5,0,0.2,0.4765625,0.8,0.1379503554185696,0.0879820944502778,0.3792713766699037,0.5633768438732739,0.5900418818154584,0.5821497326718992,0.806365495700813,0.7348291247462692,0.7413304648567891,0.7405516374514773
2,300,128,20,102,0,tardos,0.5,1,0.2,0.4765625,0.8,0.1383978470371441,0.0890348031589579,0.385009551691737,0.5625022393416943,0.5713213766796613,0.5932302754447618,0.7961172808616092,0.7342368094952926,0.7431400028397298,0.7555516462287348
2,300,128,20,102,0,tardos,0.5,2,0.2,0.515625,0.8,0.1378795522556322,0.0876780242601589,0.382124803131085,0.5618238708223617,0.5700410581564822,0.5995429031609225,0.7950263359368874,0.7443176152571092,0.722599209694332,0.7405242945321943
2,300,128,20,103,0,tardos,0.5,0,0.05,1.0,0.95,0.0575165335806763,0.0204702486772378,0.1127824162649355,0.1218049216116984,0.1599306309500808,0.2175929855928099,0.3207402710074316,0.2860046213957526,0.2623285864777637,0.3066418740832916
2,300,128,20,103,0,tardos,0.5,1,0.05,1.0,0.95,0.0573036960459986,0.0201544800814824,0.1148912299617568,0.1198999908208678,0.1548565578617142,0.2165733867263771,0.3164005990444383,0.3096491037905682,0.2427662202985258,0.3006932070861393
2,300,128,20,103,0,tardos,0.5,2,0.05,1.0,0.95,0.057306292421943,0.0202193866100825,0.1178893106547858,0.1264806881592117,0.1569759312347825,0.2176688635134241,0.3219759016321902,0.2985331722779333,0.2533445406006046,0.3106241313701932
2,300,128,20,103,0,tardos,0.5,0,0.1,1.0,0.9,0.0884182626069578,0.0398741820762369,0.2067393181890686,0.2712163390487895,0.2983971396328699,0.351474186485864,0.517290891390171,0.5022931684844739,0.4293893424001706,0.5329523209928081
2,300,128,20,103,0,tardos,0.5,1,0.1,1.0,0.9,0.0891064368849685,0.040889413237885,0.2035238199893705,0.2607289916527217,0.2928824815678493,0.3628364742627505,0.5206943472150302,0.5070183422478614,0.4372554993680557,0.5378176069106793
2,300,128,20,103,0,tardos,0.5,2,0.1,1.0,0.9,0.0892805286915799,0.0412767641657203,0.2030750176437948,0.2507371599075131,0.2809204240891365,0.3608038708215427,0.517870234692038,0.513173190646002,0.4184823412670357,0.5145183019195249
2,300,128,20,103,0,tardos,0.5,0,0.15,0.9609375,0.85,0.1158521489728099,0.0638504922146956,0.3008077980914286,0.4182265377120003,0.429784934696778,0.4570309295162796,0.6771659511961196,0.6602804221823189,0.6011201660903263,0.6643333563826133
2,300,128,20,103,0,tardos,0.5,1,0.15,0.9453125,0.85,0.1152357402989181,0.0637156612899666,0.297384773132082,0.4064153140509309,0.4181233592673018,0.4793866196275106,0.6813251821297115,0.6673379989134182,0.5919456701958903,0.6626128427892014
2,300,128,20,103,0,tardos,0.5,2,0.15,0.96875,0.85,0.1157528768380393,0.0638523140199218,0.2871187044059315,0.3978356766213823,0.4155597905976803,0.4737450916871613,0.6732261515120984,0.6559185427187182,0.6087875137529125,0.6631804552428859
2,300,128,20,103,0,tardos,0.5,0,0.2,0.5,0.8,0.1378795522556322,0.0876780242601589,0.382124803131085,0.5618238708223617,0.5700410581564822,0.5995429031609225,0.7950263359368874,0.7443176152571092,0.722599209694332,0.7405242945321943
2,300,128,20,103,0,tardos,0.5,1,0.2,0.4609375,0.8,0.1388634924421043,0.0891684424104189,0.3792479516996604,0.5529236601807437,0.5637133883426778,0.5693202377932525,0.805729646198832,0.7428500229995124,0.7391672461859473,0.7406535749849619
2,300,128,20,103,0,tardos,0.5,2,0.2,0.515625,0.8,0.1383931677034245,0.0887807323114803,0.3806436972210646,0.5543956517027153,0.558794058706662,0.566660207560988,0.7963635463576397,0.754873852852689,0.7256661694257277,0.754904525997686
2,300,128,20,104,0,tardos,0.5,0,0.05,1.0,0.95,0.0576952037003568,0.020650745726795,0.1202951113271043,0.122108919622195,0.159635743586926,0.2128653001123162,0.3221351234211985,0.301554784014841,0.2459655439562756,0.3019266104831689
2,300,128,20,104,0,tardos,0.5,1,0.05,1.0,0.95,0.0580332449231641,0.0207752432979591,0.1191632098208979,0.1101307295171996,0.1572800535725195,0.2201434560337642,0.3242106705457876,0.3016683679567638,0.2618966796839611,0.3263851074254782
2,300,128,20,104,0,tardos,0.5,2,0.05,1.0,0.95,0.0577176239339648,0.0206250425312113,0.1165090389832585,0.1112817232048044,0.1559697388723628,0.2068207018168093,0.3175167112871528,0.2880010623573956,0.2324871212635288,0.3121013824367531
2,300,128,20,104,0,tardos,0.5,0,0.1,1.0,0.9,0.0895983362400008,0.0417669591628079,0.2043868782870817,0.2466276356621276,0.282958943376025,0.3548604167942136,0.5180729031427285,0.5139925368457281,0.4135785518472195,0.505312946416823
2,300,128,20,104,0,tardos,0.5,1,0.1,1.0,0.9,0.0887226039134196,0.0405741537409271,0.2014790756557476,0.2574813795406193,0.2865342812095625,0.3563704656379308,0.5226630442504299,0.5209444574970935,0.4336447567547808,0.5213827024847998
2,300,128,20,104,0,tardos,0.5,2,0.1,1.0,0.9,0.0890593035285373,0.0407879843595434,0.2078314734313447,0.2485931774724268,0.2892029494161067,0.351242359675518,0.5174410107411355,0.5113723569935422,0.4501849203349001,0.5106707330829267
2,300,128,20,104,0,tardos,0.5,0,0.15,0.984375,0.85,0.1158968784915539,0.0640838107345348,0.2876993826420192,0.3941832669589997,0.4166293700082663,0.4694255661443443,0.6734307438026006,0.6561142603343196,0.6060068964287804,0.6605081772857861
2,300,128,20,104,0,tardos,0.5,1,0.15,0.9453125,0.85,0.115727826959245,0.0637476542113663,0.2926088227428806,0.4065009844417945,0.4310421206044476,0.4715166836704246,0.6759899073098645,0.6491162933033326,0.5854404923241591,0.6371721726226363
2,300,128,20,104,0,tardos,0.5,2,0.15,0.9375,0.85,0.1157142725372867,0.0642961971425757,0.2927867581666573,0.4020488965164118,0.4244335210218924,0.4782889276857115,0.6887144959767101,0.6535521786639991,0.6032268593019424,0.6650955868731857
2,300,128,20,104,0,tardos,0.5,0,0.2,0.4921875,0.8,0.1383931677034245,0.0887807323114803,0.3806436972210646,0.5543956517027153,0.558794058706662,0.566660207560988,0.7963635463576397,0.754873852852689,0.7256661694257277,0.754904525997686
2,300,128,20,104,0,tardos,0.5,1,0.2,0.53125,0.8,0.1383568846435264,0.0886046183299701,0.3813251158243322,0.5607437632585384,0.5655338942774855,0.5806511181337088,0.79597288715058,0.7224197397126707,0.7458524868929778,0.740016812809117
2,300,128,20,104,0,tardos,0.5,2,0.2,0.421875,0.8,0.1378308388053274,0.0878526467644786,0.3828560037758927,0.5481037759419722,0.5524043480306158,0.5916932439737798,0.7972004222291954,0.7406251349898734,0.7264370896487438,0.7354134093759459
2,300,128,20,105,0,tardos,0.5,0,0.05,1.0,0.95,0.0577958897598172,0.0207735813472302,0.1163288718987196,0.1127109921449447,0.1574125693218591,0.2069892099907609,0.3171752497416758,0.2841487132860232,0.2443646465902617,0.3115834185242815
2,300,128,20,105,0,tardos,0.5,1,0.05,1.0,0.95,0.0577838265775262,0.0205883707498277,0.1165588296403973,0.1277259171902241,0.1635323245899388,0.2081411563658851,0.316615687534968,0.3030650739318207,0.2474376049397157,0.3108207777969896
2,300,128,20,105,0,tardos,0.5,2,0.05,1.0,0.95,0.0580913314119615,0.0209658290890867,0.1138662512068876,0.12110150322292,0.1564713873226779,0.2103911120856124,0.3129471137262054,0.2835720048788674,0.2500030975997219,0.3016722763986975
2,300,128,20,105,0,tardos,0.5,0,0.1,1.0,0.9,0.0889489762520073,0.0405505834156941,0.206240923500425,0.2509956977156293,0.2890439567582608,0.3535767486931673,0.5171068811256825,0.511751250824507,0.4593309205593532,0.5118807193756614
