gamma,k,fingerprint_length,n_recipients,sk,n_colluders,strategy,threshold,embedding_ratio,colluders,accusation_scores,total_accusations,hit_abs,hit_rate,false_accusation_abs,false_accusation_rate,recall
8,300,128,20,100,2,avg,1,0.125,[14 13],"[64.46268779 64.46268779 66.54212933 65.15583497 63.76954061 60.30380471
 58.91751035 67.92842369 67.23527651 65.84898215 67.23527651 62.38324625
 65.15583497 74.16674832 72.78045396 58.91751035 61.69009907 65.15583497
 58.91751035 60.30380471]",2,2,1.0,0,0.0,1.0
8,300,128,20,100,2,avg,1,0.125,[18 17],"[65.84898215 67.23527651 64.46268779 68.62157088 66.54212933 60.99695189
 60.99695189 68.62157088 63.76954061 65.84898215 67.92842369 67.23527651
 67.23527651 62.38324625 63.76954061 60.99695189 65.84898215 74.16674832
 76.24618986 63.76954061]",2,2,1.0,0,0.0,1.0
8,300,128,20,100,2,avg,1,0.125,[11 18],"[62.38324625 64.46268779 63.07639343 65.84898215 63.76954061 62.38324625
 63.76954061 65.84898215 64.46268779 67.23527651 63.76954061 73.47360114
 68.62157088 58.91751035 61.69009907 60.30380471 62.38324625 67.23527651
 75.55304268 67.92842369]",2,2,1.0,0,0.0,1.0
8,300,128,20,100,2,avg,1,0.125,[ 0 11],"[72.78045396 66.54212933 67.92842369 63.07639343 65.15583497 64.46268779
 67.23527651 67.23527651 64.46268779 68.62157088 63.07639343 82.48451449
 63.76954061 63.76954061 62.38324625 66.54212933 64.46268779 67.23527651
 62.38324625 61.69009907]",2,2,1.0,0,0.0,1.0
8,300,128,20,100,2,avg,1,0.125,[1 3],"[70.00786524 77.63248422 69.31471806 78.3256314  67.92842369 62.38324625
 63.07639343 70.00786524 66.54212933 65.15583497 67.23527651 63.07639343
 72.08730678 68.62157088 68.62157088 65.15583497 66.54212933 67.23527651
 64.46268779 61.69009907]",2,2,1.0,0,0.0,1.0
8,300,128,20,100,2,avg,1,0.125,[ 6 13],"[65.15583497 66.54212933 66.54212933 56.14492163 61.69009907 61.69009907
 76.24618986 67.92842369 64.46268779 66.54212933 64.46268779 67.23527651
 64.46268779 69.31471806 60.99695189 59.61065753 61.69009907 63.76954061
 57.53121599 58.22436317]",2,2,1.0,0,0.0,1.0
8,300,128,20,100,2,avg,1,0.125,[10 13],"[65.84898215 70.00786524 66.54212933 63.07639343 62.38324625 65.15583497
 56.83806881 67.92842369 66.54212933 67.92842369 77.63248422 63.76954061
 67.23527651 81.09822013 63.76954061 58.22436317 65.15583497 64.46268779
 60.30380471 63.76954061]",2,2,1.0,0,0.0,1.0
8,300,128,20,100,2,avg,1,0.125,[17 18],"[66.54212933 64.46268779 66.54212933 67.92842369 65.84898215 58.22436317
 63.07639343 65.15583497 65.15583497 65.84898215 65.15583497 65.15583497
 68.62157088 63.07639343 63.07639343 60.30380471 66.54212933 73.47360114
 76.93933704 66.54212933]",2,2,1.0,0,0.0,1.0
8,300,128,20,100,2,avg,1,0.125,[15  6],"[64.46268779 63.76954061 66.54212933 61.69009907 65.15583497 63.07639343
 81.79136731 62.38324625 62.38324625 65.15583497 56.83806881 68.62157088
 58.91751035 56.14492163 60.99695189 72.78045396 65.15583497 63.07639343
 62.38324625 60.99695189]",2,2,1.0,0,0.0,1.0
8,300,128,20,100,2,avg,1,0.125,[6 1],"[62.38324625 76.24618986 66.54212933 62.38324625 63.07639343 60.99695189
 72.78045396 65.84898215 63.76954061 65.84898215 62.38324625 65.15583497
 65.15583497 59.61065753 60.30380471 63.07639343 62.38324625 63.76954061
 65.15583497 61.69009907]",2,2,1.0,0,0.0,1.0
8,300,128,20,100,3,avg,1,0.125,[ 6  2 17],"[72.08730678 69.31471806 79.71192576 67.92842369 70.00786524 71.3941596
 76.93933704 70.00786524 67.23527651 71.3941596  68.62157088 71.3941596
 65.15583497 63.76954061 70.00786524 67.23527651 70.00786524 77.63248422
 66.54212933 64.46268779]",3,3,1.0,0,0.0,1.0
8,300,128,20,100,3,avg,1,0.125,[19 10 14],"[70.70101242 70.70101242 72.78045396 72.08730678 70.00786524 71.3941596
 63.07639343 70.00786524 72.78045396 71.3941596  79.71192576 63.07639343
 69.31471806 70.70101242 75.55304268 64.46268779 68.62157088 69.31471806
 66.54212933 71.3941596 ]",2,2,1.0,0,0.0,0.6666666666666667
8,300,128,20,100,3,avg,1,0.125,[15  3 18],"[70.70101242 70.70101242 68.62157088 80.40507294 72.78045396 65.84898215
 63.07639343 68.62157088 65.84898215 67.23527651 65.84898215 65.84898215
 67.92842369 62.38324625 68.62157088 72.78045396 65.84898215 67.92842369
 77.63248422 67.23527651]",2,2,1.0,0,0.0,0.6666666666666667
8,300,128,20,100,3,avg,1,0.125,[13 11 17],"[71.3941596  68.62157088 69.31471806 67.23527651 72.08730678 69.31471806
 67.92842369 74.8598955  72.08730678 70.70101242 69.31471806 77.63248422
 70.00786524 75.55304268 66.54212933 65.15583497 69.31471806 81.09822013
 65.84898215 66.54212933]",4,3,0.75,1,0.25,1.0
8,300,128,20,100,3,avg,1,0.125,[ 3  0 18],"[77.63248422 70.70101242 70.00786524 83.17766167 70.00786524 65.84898215
 64.46268779 70.00786524 65.84898215 70.00786524 70.00786524 64.46268779
 70.70101242 67.92842369 68.62157088 65.84898215 67.23527651 69.31471806
 74.8598955  64.46268779]",3,3,1.0,0,0.0,1.0
8,300,128,20,100,3,avg,1,0.125,[ 3 15 18],"[70.70101242 70.70101242 68.62157088 80.40507294 72.78045396 65.84898215
 63.07639343 68.62157088 65.84898215 67.23527651 65.84898215 65.84898215
 67.92842369 62.38324625 68.62157088 72.78045396 65.84898215 67.92842369
 77.63248422 67.23527651]",2,2,1.0,0,0.0,0.6666666666666667
8,300,128,20,100,3,avg,1,0.125,[11  4  9],"[72.78045396 67.23527651 70.70101242 67.23527651 77.63248422 72.08730678
 70.70101242 74.8598955  69.31471806 76.24618986 67.92842369 79.01877858
 64.46268779 68.62157088 66.54212933 67.92842369 67.92842369 72.78045396
 65.84898215 67.92842369]",4,3,0.75,1,0.25,1.0
