count_detected_correct_gt_0,mean_ratio_incorrect_tot,std_ratio_incorrect_tot,mean_ratio_correct_collusion,std_ratio_correct_collusion
20,0.99,0.0,1.0,0.0
20,0.99,0.0,1.0,0.0
20,0.99,0.0,1.0,0.0
20,0.97,0.01,1.0,0.0
20,0.99,0.0,1.0,0.0
20,0.99,0.0,1.0,0.0
20,0.98,0.0,1.0,0.0
20,0.95,0.01,1.0,0.0
20,0.99,0.0,1.0,0.0
20,0.99,0.0,1.0,0.0
20,0.97,0.0,0.96,0.09
20,0.94,0.01,0.92,0.12
20,0.99,0.0,1.0,0.0
20,0.98,0.0,0.99,0.04
20,0.97,0.01,0.98,0.06
20,0.92,0.02,0.93,0.12
20,0.97,0.0,0.94,0.06
20,0.97,0.0,0.92,0.08
20,0.94,0.01,0.83,0.09
20,0.89,0.03,0.64,0.12
20,0.96,0.0,0.92,0.07
20,0.95,0.0,0.87,0.06
20,0.93,0.01,0.67,0.08
20,0.87,0.03,0.54,0.12
20,0.95,0.01,0.84,0.1
20,0.95,0.01,0.79,0.08
20,0.91,0.01,0.64,0.08
20,0.86,0.02,0.44,0.09
20,0.9,0.01,0.7,0.05
20,0.89,0.01,0.61,0.07
20,0.85,0.01,0.44,0.05
20,0.82,0.03,0.25,0.05
20,0.84,0.01,0.6,0.03
20,0.82,0.01,0.51,0.04
20,0.8,0.02,0.31,0.04
20,0.74,0.03,0.16,0.02
