collusion_size,confidence,n_users,code_length,mean_ratio_incorrect_tot,std_ratio_incorrect_tot,mean_ratio_correct_collusion,std_ratio_correct_collusion,count_detected_correct_gt_0
2,0.3,100,64,0.9431892646040507,0.005736050975790222,1.0,0.0,20
2,0.5,100,64,0.9246147977276273,0.009817847426653186,1.0,0.0,20
2,1.0,100,64,0.834688383511913,0.040354602394461134,1.0,0.0,20
2,1.5,100,64,0.6305158730158731,0.12215235094466921,1.0,0.0,20
3,0.3,100,64,0.9085870870511151,0.011521022269585377,1.0,0.0,20
3,0.5,100,64,0.8774299154951329,0.01199517654456666,1.0,0.0,20
3,1.0,100,64,0.7263748751248751,0.05766691845061641,1.0,0.0,20
3,1.5,100,64,0.4386904761904762,0.17630876439754609,1.0,0.0,20
4,0.3,100,64,0.8856891229674112,0.010274592230700316,0.9875,0.055901699437494755,20
4,0.5,100,64,0.8480480882539692,0.018884764218726733,1.0,0.0,20
4,1.0,100,64,0.7149798118548119,0.04814731569803203,0.9625,0.0915868871331308,20
4,1.5,100,64,0.4737301587301587,0.12088217472298515,0.8375,0.16770509831248423,20
5,0.3,100,64,0.8495397730566859,0.01948436682157423,1.0,0.0,20
5,0.5,100,64,0.8175171206802341,0.026409095009043298,0.99,0.044721359549995815,20
5,1.0,100,64,0.6371004253744192,0.06279993648136728,0.95,0.0888523316638638,20
5,1.5,100,64,0.3388888888888889,0.17324718390605573,0.8699999999999999,0.13416407864998736,20
10,0.3,100,64,0.7318113624480305,0.029527066832075954,0.93,0.08013147091860316,20
10,0.5,100,64,0.6877085759290824,0.05959410905625791,0.8699999999999999,0.08013147091860319,20
10,1.0,100,64,0.5000898203104086,0.06831363725239577,0.77,0.09787209698591859,20
10,1.5,100,64,0.3150865800865801,0.1501455440020852,0.545,0.11459310165698638,20
15,0.3,100,64,0.6514900472211032,0.043173474666468974,0.8833333333333334,0.08885233166386387,20
15,0.5,100,64,0.5833039060417398,0.04830115002344582,0.7933333333333333,0.06805570473787208,20
15,1.0,100,64,0.4262700264132153,0.11229997975622029,0.6033333333333333,0.08508681497077761,20
15,1.5,100,64,0.2638546176046176,0.11673867561342968,0.37666666666666665,0.11296120536772195,20
20,0.3,100,64,0.5593238459205622,0.06258895936841817,0.78,0.10563093645728085,20
20,0.5,100,64,0.5168011781422598,0.057636591743614185,0.7275,0.09385739462778515,20
20,1.0,100,64,0.3899219201850781,0.08840613149103609,0.515,0.07089651464968982,20
20,1.5,100,64,0.22931277056277058,0.15521538329072518,0.26999999999999996,0.07326950970650464,20
50,0.3,100,64,0.2859297082299773,0.04786554518738749,0.5549999999999999,0.06832584469021645,20
50,0.5,100,64,0.2650495467250645,0.06630648257989046,0.45499999999999996,0.07810249675906654,20
50,1.0,100,64,0.19962651254833916,0.10572527879762342,0.262,0.031051739505473592,20
50,1.5,100,64,0.10619588744588744,0.12445759098172252,0.134,0.03844339653103125,20
100,0.3,100,64,0.0,0.0,0.39499999999999996,0.025235730725761792,20
100,0.5,100,64,0.0,0.0,0.318,0.038879029660839275,20
100,1.0,100,64,0.0,0.0,0.164,0.020104987598001386,20
100,1.5,100,64,0.0,0.0,0.061,0.01682729612079261,20
