strategy,n_colluders,fingerprint_length,n_recipients,threshold,hit_rate,hit_rate,false_accusation_rate,false_accusation_rate,recall,recall,total_accusations,total_accusations
,,,,,mean,std,mean,std,mean,std,mean,std
avg,2,64,20,1,0.85,0.1995364999563108,0.15,0.1995364999563108,0.95,0.15811388300841897,2.3,0.48304589153964794
avg,3,64,20,1,0.8516666666666666,0.1628166430659325,0.14833333333333334,0.1628166430659325,0.9333333333333333,0.14054567378526125,3.4,0.8432740427115678
avg,5,64,20,1,0.93,0.11352924243950933,0.06999999999999999,0.11352924243950933,0.7,0.10540925533894602,3.8,0.6324555320336758
avg,10,64,20,1,0.925,0.120761472884912,0.075,0.12076147288491199,0.3,0.06666666666666671,3.3,0.8232726023485646
random,2,64,20,1,0.9,0.16101529717988264,0.1,0.16101529717988264,1.0,0.0,2.3,0.4830458915396479
random,3,64,20,1,0.705,0.2957570324138079,0.29500000000000004,0.2957570324138079,0.7333333333333334,0.2629368792488718,3.5,1.2692955176439848
random,5,64,20,1,0.4833333333333333,0.22124786390822085,0.5166666666666667,0.22124786390822088,0.33999999999999997,0.13498971154211065,3.7,1.0593499054713802
random,10,64,20,1,0.5,0.2545875386086578,0.5,0.2545875386086578,0.16999999999999993,0.09486832980505139,3.5,0.7071067811865475
random_flip,2,64,20,1,0.85,0.19953649995631081,0.15,0.19953649995631081,1.0,0.0,2.5,0.7071067811865476
random_flip,3,64,20,1,0.6616666666666666,0.25808530506667365,0.3383333333333333,0.2580853050666737,0.7,0.2459549291242073,3.4,0.9660917830792959
random_flip,5,64,20,1,0.3,0.2010773452317095,0.7,0.20107734523170953,0.17999999999999994,0.11352924243950933,2.9,0.8755950357709131
random_flip,10,64,20,1,0.5416666666666666,0.3221503751317556,0.4583333333333333,0.32215037513175565,0.17999999999999994,0.09189365834726815,3.4,1.5776212754932308
