exp_no,n_users,code_length,collusion_size,confidence,detected_tot,detected_correct,detected_incorrect,undetected
0,10,64,2,0.3,2,2,0,0
0,10,64,2,0.5,2,2,0,0
0,10,64,2,1,2,2,0,0
0,10,64,2,1.5,1,1,0,1
0,10,64,3,0.3,3,3,0,0
0,10,64,3,0.5,3,3,0,0
0,10,64,3,1,2,2,0,1
0,10,64,3,1.5,1,1,0,2
0,10,64,4,0.3,5,4,1,0
0,10,64,4,0.5,3,3,0,1
0,10,64,4,1,1,1,0,3
0,10,64,4,1.5,1,1,0,3
0,10,64,5,0.3,4,4,0,1
0,10,64,5,0.5,3,3,0,2
0,10,64,5,1,2,2,0,3
0,10,64,5,1.5,1,1,0,4
0,10,64,10,0.3,3,3,0,7
0,10,64,10,0.5,3,3,0,7
0,10,64,10,1,3,3,0,7
0,10,64,10,1.5,1,1,0,9
0,10,16,2,0.3,6,2,4,0
0,10,16,2,0.5,3,1,2,1
0,10,16,2,1,2,1,1,1
0,10,16,2,1.5,1,1,0,1
0,10,16,3,0.3,2,2,0,1
0,10,16,3,0.5,1,1,0,2
0,10,16,3,1,2,2,0,1
0,10,16,3,1.5,1,1,0,2
0,10,16,4,0.3,4,3,1,1
0,10,16,4,0.5,6,4,2,0
0,10,16,4,1,2,2,0,2
0,10,16,4,1.5,1,1,0,3
0,10,16,5,0.3,3,3,0,2
0,10,16,5,0.5,4,3,1,2
0,10,16,5,1,2,2,0,3
0,10,16,5,1.5,0,0,0,5
0,10,16,10,0.3,4,4,0,6
0,10,16,10,0.5,2,2,0,8
0,10,16,10,1,1,1,0,9
0,10,16,10,1.5,1,1,0,9
0,10,32,2,0.3,4,2,2,0
0,10,32,2,0.5,2,2,0,0
0,10,32,2,1,2,2,0,0
0,10,32,2,1.5,2,2,0,0
0,10,32,3,0.3,3,3,0,0
0,10,32,3,0.5,3,2,1,1
0,10,32,3,1,1,1,0,2
0,10,32,3,1.5,1,1,0,2
0,10,32,4,0.3,4,4,0,0
0,10,32,4,0.5,2,2,0,2
0,10,32,4,1,1,1,0,3
0,10,32,4,1.5,0,0,0,4
0,10,32,5,0.3,4,3,1,2
0,10,32,5,0.5,3,3,0,2
0,10,32,5,1,3,3,0,2
0,10,32,5,1.5,0,0,0,5
0,10,32,10,0.3,4,4,0,6
0,10,32,10,0.5,4,4,0,6
0,10,32,10,1,2,2,0,8
0,10,32,10,1.5,0,0,0,10
0,10,64,2,0.3,3,2,1,0
0,10,64,2,0.5,2,2,0,0
0,10,64,2,1,2,2,0,0
0,10,64,2,1.5,2,2,0,0
0,10,64,3,0.3,3,3,0,0
0,10,64,3,0.5,3,3,0,0
0,10,64,3,1,3,3,0,0
0,10,64,3,1.5,1,1,0,2
0,10,64,4,0.3,4,4,0,0
0,10,64,4,0.5,5,4,1,0
0,10,64,4,1,2,2,0,2
0,10,64,4,1.5,1,1,0,3
0,10,64,5,0.3,6,5,1,0
0,10,64,5,0.5,2,2,0,3
0,10,64,5,1,2,2,0,3
0,10,64,5,1.5,2,2,0,3
0,10,64,10,0.3,3,3,0,7
0,10,64,10,0.5,3,3,0,7
0,10,64,10,1,3,3,0,7
0,10,64,10,1.5,1,1,0,9
0,10,128,2,0.3,2,2,0,0
0,10,128,2,0.5,2,2,0,0
0,10,128,2,1,2,2,0,0
0,10,128,2,1.5,2,2,0,0
0,10,128,3,0.3,3,3,0,0
0,10,128,3,0.5,3,3,0,0
0,10,128,3,1,3,3,0,0
0,10,128,3,1.5,1,1,0,2
0,10,128,4,0.3,4,4,0,0
0,10,128,4,0.5,4,3,1,1
0,10,128,4,1,3,3,0,1
0,10,128,4,1.5,0,0,0,4
0,10,128,5,0.3,6,5,1,0
0,10,128,5,0.5,4,4,0,1
0,10,128,5,1,3,3,0,2
0,10,128,5,1.5,0,0,0,5
0,10,128,10,0.3,4,4,0,6
0,10,128,10,0.5,4,4,0,6
0,10,128,10,1,2,2,0,8
0,10,128,10,1.5,1,1,0,9
0,10,256,2,0.3,2,2,0,0
0,10,256,2,0.5,2,2,0,0
0,10,256,2,1,2,2,0,0
0,10,256,2,1.5,2,2,0,0
0,10,256,3,0.3,3,3,0,0
0,10,256,3,0.5,3,3,0,0
0,10,256,3,1,3,3,0,0
0,10,256,3,1.5,1,1,0,2
0,10,256,4,0.3,4,4,0,0
0,10,256,4,0.5,4,4,0,0
0,10,256,4,1,3,3,0,1
0,10,256,4,1.5,1,1,0,3
0,10,256,5,0.3,5,5,0,0
0,10,256,5,0.5,5,5,0,0
0,10,256,5,1,2,2,0,3
0,10,256,5,1.5,0,0,0,5
0,10,256,10,0.3,5,5,0,5
0,10,256,10,0.5,5,5,0,5
0,10,256,10,1,2,2,0,8
0,10,256,10,1.5,0,0,0,10
0,10,512,2,0.3,2,2,0,0
0,10,512,2,0.5,2,2,0,0
0,10,512,2,1,2,2,0,0
0,10,512,2,1.5,2,2,0,0
0,10,512,3,0.3,3,3,0,0
0,10,512,3,0.5,3,3,0,0
0,10,512,3,1,3,3,0,0
0,10,512,3,1.5,1,1,0,2
0,10,512,4,0.3,4,4,0,0
0,10,512,4,0.5,4,4,0,0
0,10,512,4,1,4,4,0,0
0,10,512,4,1.5,1,1,0,3
0,10,512,5,0.3,5,5,0,0
0,10,512,5,0.5,5,5,0,0
0,10,512,5,1,2,2,0,3
0,10,512,5,1.5,0,0,0,5
0,10,512,10,0.3,5,5,0,5
0,10,512,10,0.5,2,2,0,8
0,10,512,10,1,1,1,0,9
0,10,512,10,1.5,1,1,0,9
0,10,1024,2,0.3,2,2,0,0
0,10,1024,2,0.5,2,2,0,0
0,10,1024,2,1,2,2,0,0
0,10,1024,2,1.5,2,2,0,0
0,10,1024,3,0.3,3,3,0,0
0,10,1024,3,0.5,3,3,0,0
0,10,1024,3,1,3,3,0,0
0,10,1024,3,1.5,2,2,0,1
0,10,1024,4,0.3,4,4,0,0
0,10,1024,4,0.5,4,4,0,0
0,10,1024,4,1,3,3,0,1
0,10,1024,4,1.5,0,0,0,4
0,10,1024,5,0.3,5,5,0,0
0,10,1024,5,0.5,5,5,0,0
0,10,1024,5,1,3,3,0,2
0,10,1024,5,1.5,0,0,0,5
0,10,1024,10,0.3,5,5,0,5
0,10,1024,10,0.5,4,4,0,6
0,10,1024,10,1,0,0,0,10
0,10,1024,10,1.5,0,0,0,10
0,10,2048,2,0.3,2,2,0,0
0,10,2048,2,0.5,2,2,0,0
0,10,2048,2,1,2,2,0,0
0,10,2048,2,1.5,2,2,0,0
0,10,2048,3,0.3,3,3,0,0
0,10,2048,3,0.5,3,3,0,0
0,10,2048,3,1,3,3,0,0
0,10,2048,3,1.5,3,3,0,0
0,10,2048,4,0.3,4,4,0,0
0,10,2048,4,0.5,4,4,0,0
0,10,2048,4,1,4,4,0,0
0,10,2048,4,1.5,0,0,0,4
0,10,2048,5,0.3,5,5,0,0
0,10,2048,5,0.5,5,5,0,0
0,10,2048,5,1,3,3,0,2
0,10,2048,5,1.5,0,0,0,5
0,10,2048,10,0.3,4,4,0,6
0,10,2048,10,0.5,4,4,0,6
0,10,2048,10,1,2,2,0,8
0,10,2048,10,1.5,1,1,0,9
0,100,64,2,0.3,35,2,33,0
0,100,64,2,0.5,24,2,22,0
0,100,64,2,1,10,2,8,0
0,100,64,2,1.5,4,2,2,0
0,100,64,3,0.3,38,3,35,0
0,100,64,3,0.5,24,3,21,0
0,100,64,3,1,16,3,13,0
0,100,64,3,1.5,6,3,3,0
0,100,64,4,0.3,34,4,30,0
0,100,64,4,0.5,27,4,23,0
0,100,64,4,1,12,3,9,1
0,100,64,4,1.5,7,4,3,0
0,100,64,5,0.3,38,5,33,0
0,100,64,5,0.5,26,5,21,0
0,100,64,5,1,13,5,8,0
0,100,64,5,1.5,10,4,6,1
0,100,64,10,0.3,34,10,24,0
0,100,64,10,0.5,27,9,18,1
0,100,64,10,1,11,6,5,4
0,100,64,10,1.5,6,5,1,5
0,100,64,15,0.3,38,15,23,0
0,100,64,15,0.5,27,10,17,5
0,100,64,15,1,18,9,9,6
0,100,64,15,1.5,7,5,2,10
0,100,64,20,0.3,33,18,15,2
0,100,64,20,0.5,31,17,14,3
0,100,64,20,1,18,12,6,8
0,100,64,20,1.5,11,7,4,13
0,100,64,50,0.3,38,28,10,22
0,100,64,50,0.5,29,20,9,30
0,100,64,50,1,15,14,1,36
0,100,64,50,1.5,6,6,0,44
0,100,64,100,0.3,41,41,0,59
0,100,64,100,0.5,30,30,0,70
0,100,64,100,1,16,16,0,84
0,100,64,100,1.5,8,8,0,92
0,100,16,2,0.3,35,2,33,0
0,100,16,2,0.5,24,2,22,0
0,100,16,2,1,19,2,17,0
0,100,16,2,1.5,5,1,4,1
0,100,16,3,0.3,40,3,37,0
0,100,16,3,0.5,23,3,20,0
0,100,16,3,1,20,3,17,0
0,100,16,3,1.5,5,3,2,0
0,100,16,4,0.3,40,3,37,1
0,100,16,4,0.5,23,3,20,1
0,100,16,4,1,11,3,8,1
0,100,16,4,1.5,5,2,3,2
0,100,16,5,0.3,44,5,39,0
0,100,16,5,0.5,24,4,20,1
0,100,16,5,1,20,3,17,2
0,100,16,5,1.5,4,3,1,2
0,100,16,10,0.3,32,7,25,3
0,100,16,10,0.5,23,6,17,4
0,100,16,10,1,14,5,9,5
0,100,16,10,1.5,5,3,2,7
0,100,16,15,0.3,37,10,27,5
0,100,16,15,0.5,28,10,18,5
0,100,16,15,1,19,7,12,8
0,100,16,15,1.5,2,0,2,15
0,100,16,20,0.3,42,12,30,8
0,100,16,20,0.5,38,11,27,9
0,100,16,20,1,14,5,9,15
0,100,16,20,1.5,2,2,0,18
0,100,16,50,0.3,33,22,11,28
0,100,16,50,0.5,35,23,12,27
0,100,16,50,1,12,8,4,42
0,100,16,50,1.5,9,8,1,42
0,100,16,100,0.3,36,36,0,64
0,100,16,100,0.5,36,36,0,64
0,100,16,100,1,24,24,0,76
0,100,16,100,1.5,3,3,0,97
0,100,32,2,0.3,33,2,31,0
0,100,32,2,0.5,32,2,30,0
0,100,32,2,1,17,2,15,0
0,100,32,2,1.5,8,2,6,0
0,100,32,3,0.3,35,3,32,0
0,100,32,3,0.5,27,3,24,0
0,100,32,3,1,11,3,8,0
0,100,32,3,1.5,5,3,2,0
0,100,32,4,0.3,38,4,34,0
0,100,32,4,0.5,28,4,24,0
0,100,32,4,1,16,4,12,0
0,100,32,4,1.5,7,4,3,0
0,100,32,5,0.3,35,5,30,0
0,100,32,5,0.5,24,5,19,0
0,100,32,5,1,17,5,12,0
0,100,32,5,1.5,4,3,1,2
0,100,32,10,0.3,32,8,24,2
0,100,32,10,0.5,36,7,29,3
0,100,32,10,1,20,7,13,3
0,100,32,10,1.5,10,3,7,7
0,100,32,15,0.3,39,9,30,6
0,100,32,15,0.5,34,13,21,2
0,100,32,15,1,14,9,5,6
0,100,32,15,1.5,6,4,2,11
0,100,32,20,0.3,31,13,18,7
0,100,32,20,0.5,29,15,14,5
0,100,32,20,1,15,9,6,11
0,100,32,20,1.5,8,4,4,16
0,100,32,50,0.3,41,28,13,22
0,100,32,50,0.5,29,22,7,28
0,100,32,50,1,20,18,2,32
0,100,32,50,1.5,7,6,1,44
0,100,32,100,0.3,46,46,0,54
0,100,32,100,0.5,24,24,0,76
0,100,32,100,1,12,12,0,88
0,100,32,100,1.5,5,5,0,95
0,100,64,2,0.3,33,2,31,0
0,100,64,2,0.5,21,2,19,0
0,100,64,2,1,14,2,12,0
0,100,64,2,1.5,10,2,8,0
0,100,64,3,0.3,35,3,32,0
0,100,64,3,0.5,23,3,20,0
0,100,64,3,1,11,3,8,0
0,100,64,3,1.5,6,3,3,0
0,100,64,4,0.3,36,4,32,0
0,100,64,4,0.5,22,4,18,0
0,100,64,4,1,15,4,11,0
0,100,64,4,1.5,7,4,3,0
0,100,64,5,0.3,32,5,27,0
0,100,64,5,0.5,26,4,22,1
0,100,64,5,1,13,5,8,0
0,100,64,5,1.5,7,5,2,0
0,100,64,10,0.3,32,10,22,0
0,100,64,10,0.5,26,9,17,1
0,100,64,10,1,18,8,10,2
0,100,64,10,1.5,11,7,4,3
0,100,64,15,0.3,41,13,28,2
0,100,64,15,0.5,28,14,14,1
0,100,64,15,1,11,8,3,7
0,100,64,15,1.5,5,3,2,12
0,100,64,20,0.3,33,16,17,4
0,100,64,20,0.5,31,15,16,5
0,100,64,20,1,17,9,8,11
0,100,64,20,1.5,6,4,2,16
0,100,64,50,0.3,44,31,13,19
0,100,64,50,0.5,35,29,6,21
0,100,64,50,1,17,14,3,36
0,100,64,50,1.5,10,10,0,40
0,100,64,100,0.3,41,41,0,59
0,100,64,100,0.5,30,30,0,70
0,100,64,100,1,16,16,0,84
