count_detected_correct_gt_0,mean_ratio_incorrect_tot,std_ratio_incorrect_tot,mean_ratio_correct_collusion,std_ratio_correct_collusion
10,0.0,0.0,1.0,0.0
10,0.0,0.0,1.0,0.0
10,0.0,0.0,1.0,0.0
10,0.0,0.0,1.0,0.0
10,0.0,0.0,1.0,0.0
10,0.0,0.0,1.0,0.0
10,0.0,0.0,1.0,0.0
10,0.0,0.0,0.53,0.17
10,0.0,0.0,1.0,0.0
10,0.0,0.0,1.0,0.0
10,0.0,0.0,0.92,0.12
2,0.0,0.0,0.05,0.11
10,0.0,0.0,1.0,0.0
10,0.0,0.0,1.0,0.0
10,0.0,0.0,0.5,0.11
0,,,0.0,0.0
10,0.0,0.0,0.42,0.08
10,0.0,0.0,0.31,0.07
10,0.0,0.0,0.19,0.06
6,0.0,0.0,0.06,0.05
