Id,X,Y,Z
0,53,33,38
1,43,33,65
2,61,36,60
3,27,22,27
4,37,23,38
5,59,49,42
6,28,22,47
7,50,28,86
8,39,32,59
9,68,59,43
10,44,28,52
11,51,43,50
12,40,32,43
13,46,42,18
14,45,36,45
15,47,41,40
16,34,30,54
17,55,24,63
18,47,34,52
19,51,30,45
20,49,27,69
21,37,28,48
22,43,23,52
23,40,38,44
24,56,40,67
25,45,36,36
26,60,44,46
27,51,42,19
28,55,40,51
29,65,40,45
30,49,41,69
31,55,45,59
32,33,37,55
33,75,51,58
34,41,25,69
35,63,42,84
36,21,16,13
37,49,41,34
38,44,29,31
39,46,36,33
40,44,33,62
41,63,41,86
42,64,42,61
43,69,53,40
44,65,44,61
45,31,20,47
46,43,45,59
47,52,31,49
48,62,41,59
49,44,36,26
50,48,37,48
51,54,38,19
52,55,41,48
53,54,25,34
54,48,38,77
55,56,34,64
56,63,48,45
57,44,48,58
58,46,46,66
59,49,33,20
60,54,39,42
61,31,17,35
62,57,37,70
63,25,17,43
64,54,42,52
65,58,36,61
66,44,34,71
67,36,31,59
68,47,40,40
69,37,28,40
70,46,45,53
71,69,56,50
72,42,36,23
73,29,28,43
74,61,40,40
75,45,26,40
76,67,45,32
77,45,21,51
78,55,37,25
79,64,44,50
80,72,48,80
81,61,45,43
82,52,40,46
83,64,28,61
84,69,45,77
85,32,25,44
86,33,18,71
87,22,15,61
88,61,42,90
89,45,46,57
90,65,32,62
91,77,56,61
92,73,32,50
93,45,37,54
94,57,29,35
95,54,39,59
96,55,46,64
97,39,26,43
98,66,44,62
99,61,39,61
100,61,48,36
101,47,34,41
102,64,47,49
103,60,42,46
104,46,30,68
105,34,33,29
106,49,38,22
107,30,15,69
108,50,36,34
109,61,43,56
110,32,24,43
111,43,28,41
112,43,36,64
113,50,41,63
114,49,38,46
115,26,21,36
116,60,40,45
117,65,48,64
118,38,29,51
119,52,32,55
120,52,31,53
121,60,46,29
122,38,29,42
123,54,45,41
124,67,49,38
125,59,48,33
126,28,19,32
127,45,33,38
128,50,30,30
129,63,42,33
130,47,38,54
131,45,25,44
132,46,42,73
133,56,46,51
134,35,22,64
135,35,18,47
136,55,33,60
137,56,33,63
138,55,33,70
139,57,34,47
140,56,33,38
141,54,40,67
142,54,39,69
143,36,23,32
144,49,42,74
145,54,37,37
146,57,35,68
147,35,14,35
148,48,39,67
149,60,37,36
150,45,30,60
151,74,53,63
152,37,29,47
153,35,34,33
154,50,32,22
155,53,37,45
156,72,42,31
157,49,29,30
158,42,13,62
159,47,29,43
160,46,36,79
161,48,36,46
162,48,36,39
163,63,41,59
164,62,38,27
165,51,27,34
166,57,46,52
167,64,42,74
168,49,26,61
169,45,33,86
170,50,37,41
171,71,42,64
172,45,30,52
173,28,20,44
174,44,36,55
175,45,35,51
176,58,39,44
177,51,43,12
178,60,39,48
179,40,29,68
180,54,41,58
181,43,8,60
182,52,30,20
183,71,52,41
184,65,47,56
185,61,31,43
186,35,25,46
187,43,24,58
188,34,25,44
189,52,29,53
190,44,28,48
191,57,30,66
192,27,28,57
193,53,40,56
194,43,26,77
195,55,30,56
196,65,50,68
197,49,42,33
198,59,31,35
199,43,31,52
200,58,44,48
201,62,43,49
202,47,23,39
203,61,44,43
204,43,36,44
205,39,24,61
206,49,33,60
207,59,36,45
208,44,35,29
209,43,35,59
210,45,38,42
211,54,46,38
212,16,20,35
213,59,40,67
214,41,36,79
215,57,35,37
216,46,37,23
217,57,33,32
218,54,30,70
219,68,32,25
220,38,30,78
221,37,30,34
222,55,36,52
223,40,24,55
224,54,40,52
225,56,31,48
226,43,26,38
227,51,37,41
228,48,28,61
229,42,31,46
230,34,21,48
231,36,28,48
232,38,24,16
233,72,45,59
234,48,41,60
235,53,30,42
236,47,32,64
237,47,44,37
238,49,23,65
239,44,31,27
240,47,42,43
241,72,47,59
242,74,51,27
243,77,47,49
244,44,31,36
245,53,41,45
246,57,42,47
247,50,32,60
248,47,39,70
249,56,39,55
250,59,36,72
251,52,40,63
252,58,39,59
253,51,29,56
254,44,28,41
255,47,36,55
256,25,19,43
257,62,47,33
258,34,22,41
259,58,35,69
260,52,38,44
261,57,32,58
262,51,39,33
263,55,46,38
264,44,33,71
265,33,26,58
266,43,44,49
267,39,25,83
268,55,33,37
269,51,43,56
270,46,31,26
271,53,45,64
272,36,26,71
273,32,28,48
274,53,42,49
275,34,31,58
276,66,46,63
277,41,28,63
278,39,30,39
279,54,40,67
280,45,26,66
281,71,56,66
282,54,44,35
283,43,38,31
284,60,41,39
285,43,25,61
286,47,32,44
287,71,43,35
288,51,36,58
289,43,33,49
290,44,25,41
291,44,29,57
292,20,25,67
293,61,44,68
