gamma,k,fingerprint_length,n_recipients,sk,vote_error,tp,tn
32,300,64,20,100,0.022727272727272728,1.0,0.5
32,300,64,20,100,0.022727272727272728,1.0,0.5
32,300,64,20,100,0.022727272727272728,1.0,0.546875
32,300,64,20,100,0.022727272727272728,1.0,0.5
32,300,64,20,100,0.022727272727272728,1.0,0.546875
32,300,64,20,100,0.022727272727272728,1.0,0.5625
32,300,64,20,100,0.022727272727272728,1.0,0.4375
32,300,64,20,100,0.022727272727272728,1.0,0.4375
32,300,64,20,100,0.022727272727272728,1.0,0.53125
32,300,64,20,100,0.022727272727272728,1.0,0.46875
32,300,64,20,100,0.022727272727272728,1.0,0.515625
32,300,64,20,100,0.022727272727272728,1.0,0.515625
32,300,64,20,100,0.022727272727272728,1.0,0.40625
32,300,64,20,100,0.022727272727272728,1.0,0.515625
32,300,64,20,100,0.022727272727272728,1.0,0.390625
32,300,64,20,100,0.022727272727272728,1.0,0.546875
32,300,64,20,100,0.022727272727272728,1.0,0.53125
32,300,64,20,100,0.022727272727272728,1.0,0.578125
32,300,64,20,100,0.022727272727272728,1.0,0.59375
32,300,64,20,101,0.018258426966292134,1.0,0.375
32,300,64,20,101,0.018258426966292134,1.0,0.5
32,300,64,20,101,0.018258426966292134,1.0,0.421875
32,300,64,20,101,0.018258426966292134,1.0,0.453125
32,300,64,20,101,0.018258426966292134,1.0,0.5
32,300,64,20,101,0.018258426966292134,1.0,0.578125
32,300,64,20,101,0.018258426966292134,1.0,0.640625
32,300,64,20,101,0.018258426966292134,1.0,0.53125
32,300,64,20,101,0.018258426966292134,1.0,0.4375
32,300,64,20,101,0.018258426966292134,1.0,0.421875
32,300,64,20,101,0.018258426966292134,1.0,0.421875
32,300,64,20,101,0.018258426966292134,1.0,0.53125
32,300,64,20,101,0.018258426966292134,1.0,0.515625
32,300,64,20,101,0.018258426966292134,1.0,0.421875
32,300,64,20,101,0.018258426966292134,1.0,0.5
32,300,64,20,101,0.018258426966292134,1.0,0.53125
32,300,64,20,101,0.018258426966292134,1.0,0.4375
32,300,64,20,101,0.018258426966292134,1.0,0.4375
32,300,64,20,101,0.018258426966292134,1.0,0.484375
32,300,64,20,102,0.020333468889792598,1.0,0.5
32,300,64,20,102,0.020333468889792598,1.0,0.46875
32,300,64,20,102,0.020333468889792598,1.0,0.53125
32,300,64,20,102,0.020333468889792598,1.0,0.4375
32,300,64,20,102,0.020333468889792598,1.0,0.515625
32,300,64,20,102,0.020333468889792598,1.0,0.546875
